
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,IND,NBA,SF,78,17,22.6,2.8,6.1,.462,0.4,1.2,.323,2.4,4.9,.496,1.5,1.9,.777,1.7,3.2,4.9,1.2,0.7,0.8,1.0,2.7,7.5
2006-07,23,IND,NBA,SF,82,57,34.0,4.9,10.6,.459,1.3,3.5,.382,3.5,7.1,.497,2.9,3.6,.803,1.4,3.3,4.6,1.4,0.8,0.7,1.6,3.0,13.9
2007-08,24,IND,NBA,SF,80,80,36.0,6.7,15.1,.446,2.1,5.3,.404,4.6,9.8,.468,4.0,4.7,.852,1.2,4.9,6.1,2.1,1.2,1.1,2.1,3.6,19.6
2008-09 ★,25,IND,NBA,SF,67,66,36.2,8.5,19.1,.447,2.7,6.7,.404,5.8,12.3,.470,6.0,6.9,.878,0.7,4.4,5.1,2.7,1.0,1.4,2.5,3.1,25.8
2009-10,26,IND,NBA,SF,62,62,36.7,7.9,18.4,.428,2.5,7.1,.361,5.3,11.3,.471,5.9,6.9,.848,1.1,4.4,5.5,2.8,1.5,0.8,2.5,3.0,24.1
2010-11,27,IND,NBA,SF,79,79,35.0,6.8,15.9,.425,2.0,5.2,.386,4.8,10.8,.443,5.0,5.9,.848,1.1,4.3,5.4,2.6,1.1,0.8,2.6,2.7,20.5
2011-12,28,IND,NBA,SF,62,62,33.3,6.3,15.2,.416,2.0,5.2,.381,4.3,10.0,.434,4.1,4.7,.873,1.3,3.7,5.0,1.8,1.0,0.6,1.8,2.3,18.7
2012-13,29,IND,NBA,SF,5,0,14.8,2.0,7.0,.286,0.4,2.0,.200,1.6,5.0,.320,1.0,1.6,.625,0.6,1.2,1.8,0.6,0.4,0.2,0.8,1.2,5.4
2013-14,30,TOT,NBA,SF,41,2,20.7,2.8,7.5,.378,1.0,3.1,.336,1.8,4.4,.408,1.5,1.6,.940,0.8,2.5,3.2,1.0,0.3,0.4,1.1,1.5,8.2
2013-14,30,IND,NBA,SF,29,2,22.5,2.8,7.7,.359,1.1,3.2,.330,1.7,4.4,.380,1.8,1.8,.962,0.8,2.8,3.6,1.1,0.3,0.4,1.2,1.4,8.3
2013-14,30,LAC,NBA,SF,12,0,16.2,3.0,7.0,.429,1.0,2.8,.353,2.0,4.2,.480,1.0,1.2,.857,0.6,1.8,2.3,0.7,0.3,0.3,0.8,1.8,8.0
Career,,,NBA,,556,425,32.1,5.9,13.5,.435,1.8,4.6,.381,4.1,8.9,.463,3.9,4.6,.849,1.2,3.9,5.1,1.9,1.0,0.9,1.9,2.8,17.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,IND,NBA,,544,425,32.5,5.9,13.7,.435,1.8,4.6,.382,4.2,9.0,.463,3.9,4.6,.849,1.2,3.9,5.1,2.0,1.0,0.9,2.0,2.8,17.6
1 season,,LAC,NBA,,12,0,16.2,3.0,7.0,.429,1.0,2.8,.353,2.0,4.2,.480,1.0,1.2,.857,0.6,1.8,2.3,0.7,0.3,0.3,0.8,1.8,8.0
