
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,NOH,NBA,PG,76,37,27.8,4.9,10.4,.477,0.6,1.5,.400,4.3,8.9,.490,1.9,2.3,.851,0.5,2.0,2.5,5.7,1.0,0.1,2.7,1.2,12.4
2010-11,23,IND,NBA,PG,79,79,29.9,5.0,11.0,.457,0.5,1.6,.331,4.5,9.4,.479,2.6,2.9,.871,0.5,2.3,2.8,5.1,1.1,0.2,2.5,1.4,13.2
2011-12,24,IND,NBA,PG,60,56,31.3,3.8,8.7,.440,0.6,1.6,.362,3.3,7.2,.457,2.1,2.6,.830,0.5,2.6,3.1,4.8,0.8,0.2,1.9,1.7,10.4
2012-13,25,DAL,NBA,PG,81,47,29.3,4.2,8.9,.471,0.6,1.7,.353,3.6,7.3,.498,3.0,3.4,.880,0.4,2.3,2.7,5.1,1.2,0.1,2.1,1.7,12.0
2013-14,26,LAC,NBA,PG,80,35,25.9,4.1,8.7,.467,0.9,2.4,.376,3.2,6.3,.501,2.4,2.8,.857,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,11.4
Career,,,NBA,,376,254,28.7,4.4,9.6,.464,0.6,1.8,.365,3.8,7.8,.486,2.4,2.8,.861,0.5,2.2,2.7,4.9,1.1,0.1,2.2,1.6,11.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,IND,NBA,,139,135,30.5,4.5,10.0,.451,0.5,1.6,.344,4.0,8.5,.471,2.4,2.8,.855,0.5,2.5,3.0,5.0,1.0,0.2,2.2,1.5,11.9
1 season,,DAL,NBA,,81,47,29.3,4.2,8.9,.471,0.6,1.7,.353,3.6,7.3,.498,3.0,3.4,.880,0.4,2.3,2.7,5.1,1.2,0.1,2.1,1.7,12.0
1 season,,LAC,NBA,,80,35,25.9,4.1,8.7,.467,0.9,2.4,.376,3.2,6.3,.501,2.4,2.8,.857,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,11.4
1 season,,NOH,NBA,,76,37,27.8,4.9,10.4,.477,0.6,1.5,.400,4.3,8.9,.490,1.9,2.3,.851,0.5,2.0,2.5,5.7,1.0,0.1,2.7,1.2,12.4
