
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,MEM,NBA,SF,71,1,11.2,1.2,3.1,.396,0.0,0.1,.000,1.2,3.0,.407,0.5,0.7,.623,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1.5,2.9
2010-11,24,TOT,NBA,PF,12,0,4.2,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,0.2,0.2,1.000,0.2,0.5,0.7,0.3,0.1,0.1,0.0,0.4,0.8
2010-11,24,MEM,NBA,PF,7,0,5.6,0.6,1.3,.444,0.0,0.0,,0.6,1.3,.444,0.3,0.3,1.000,0.3,0.9,1.1,0.3,0.1,0.1,0.0,0.7,1.4
2010-11,24,HOU,NBA,PF,5,0,2.2,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2011-12,25,TOT,NBA,SF-PF,24,9,14.5,1.8,4.4,.410,0.3,0.8,.368,1.5,3.6,.419,0.6,0.7,.875,1.2,1.0,2.2,0.8,0.5,0.0,0.5,1.5,4.5
2011-12,25,DEN,NBA,PF,4,0,5.3,1.5,1.5,1.000,0.0,0.0,,1.5,1.5,1.000,0.0,0.0,,0.0,0.8,0.8,0.8,0.0,0.0,0.5,0.3,3.0
2011-12,25,UTA,NBA,SF,20,9,16.4,1.9,5.0,.374,0.4,1.0,.368,1.5,4.0,.375,0.7,0.8,.875,1.4,1.1,2.5,0.8,0.6,0.1,0.5,1.8,4.8
2012-13,26,UTA,NBA,SF,66,12,16.8,2.3,4.9,.460,0.3,1.1,.286,2.0,3.8,.508,1.1,1.5,.765,1.3,1.5,2.8,0.9,0.9,0.4,0.5,1.8,6.0
2013-14,27,ATL,NBA,SF,73,73,32.1,4.1,8.8,.470,1.3,3.7,.362,2.8,5.1,.548,1.5,1.9,.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1
Career,,,NBA,,246,95,18.9,2.4,5.3,.449,0.5,1.5,.342,1.9,3.8,.490,0.9,1.3,.752,1.1,2.1,3.3,1.0,0.8,0.2,0.6,1.9,6.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,UTA,NBA,,86,21,16.7,2.2,4.9,.440,0.3,1.0,.303,1.8,3.9,.476,1.0,1.3,.781,1.3,1.4,2.8,0.9,0.8,0.3,0.5,1.8,5.7
2 seasons,,MEM,NBA,,78,1,10.7,1.2,3.0,.398,0.0,0.1,.000,1.2,2.9,.409,0.4,0.7,.636,0.7,1.3,2.0,0.4,0.4,0.1,0.3,1.4,2.8
1 season,,ATL,NBA,,73,73,32.1,4.1,8.8,.470,1.3,3.7,.362,2.8,5.1,.548,1.5,1.9,.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1
1 season,,HOU,NBA,,5,0,2.2,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1 season,,DEN,NBA,,4,0,5.3,1.5,1.5,1.000,0.0,0.0,,1.5,1.5,1.000,0.0,0.0,,0.0,0.8,0.8,0.8,0.0,0.0,0.5,0.3,3.0
