
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,19,TOT,NBA,PF,78,27,19.7,2.8,5.3,.517,0.0,0.0,,2.8,5.3,.517,1.3,2.2,.595,2.2,3.1,5.3,0.5,0.4,0.9,1.0,3.2,6.8
2010-11,19,NJN,NBA,PF,56,23,19.5,2.5,4.9,.511,0.0,0.0,,2.5,4.9,.511,1.3,2.1,.612,2.3,3.1,5.3,0.4,0.3,0.7,1.0,3.3,6.3
2010-11,19,UTA,NBA,PF,22,4,20.2,3.4,6.4,.529,0.0,0.0,,3.4,6.4,.529,1.5,2.6,.561,2.0,3.2,5.2,0.8,0.5,1.2,1.0,2.9,8.2
2011-12,20,UTA,NBA,PF,65,9,21.2,3.4,6.8,.499,0.0,0.0,,3.4,6.8,.499,1.9,3.0,.649,2.4,4.1,6.5,0.7,0.6,1.0,1.6,2.2,8.8
2012-13,21,UTA,NBA,PF,77,8,23.2,3.6,7.4,.482,0.0,0.1,.000,3.6,7.3,.487,2.3,3.4,.688,2.4,4.7,7.1,1.0,0.9,1.7,1.7,3.2,9.4
2013-14,22,UTA,NBA,PF,73,73,30.2,5.3,10.2,.522,0.0,0.0,.000,5.3,10.2,.523,2.6,3.9,.669,2.7,6.0,8.7,1.2,1.0,1.5,1.8,3.2,13.3
Career,,,NBA,,293,117,23.5,3.8,7.4,.506,0.0,0.0,.000,3.8,7.4,.507,2.0,3.1,.656,2.4,4.5,6.9,0.8,0.7,1.3,1.5,3.0,9.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,237,94,24.5,4.1,8.0,.505,0.0,0.0,.000,4.1,8.0,.507,2.2,3.4,.663,2.5,4.8,7.3,1.0,0.8,1.4,1.6,2.9,10.3
1 season,,NJN,NBA,,56,23,19.5,2.5,4.9,.511,0.0,0.0,,2.5,4.9,.511,1.3,2.1,.612,2.3,3.1,5.3,0.4,0.3,0.7,1.0,3.3,6.3
