
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,CHA,NBA,PG,72,12,26.5,3.7,8.6,.430,1.5,3.4,.439,2.2,5.2,.424,2.9,3.2,.893,0.2,1.6,1.8,3.5,0.6,0.0,1.7,1.9,11.8
2009-10,22,CHA,NBA,PG,80,2,18.4,2.1,5.4,.386,0.9,2.2,.393,1.2,3.2,.381,1.3,1.6,.779,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,6.4
2010-11,23,CHA,NBA,PG,82,82,33.6,4.9,11.7,.416,1.4,4.1,.333,3.5,7.6,.461,3.3,3.6,.906,0.5,2.3,2.7,6.1,0.7,0.0,1.9,1.9,14.4
2011-12,24,CHA,NBA,PG,48,46,29.3,3.8,10.1,.376,1.3,3.7,.341,2.5,6.4,.396,2.2,2.5,.875,0.5,1.8,2.3,6.4,0.8,0.0,2.3,1.4,11.1
2012-13,25,IND,NBA,PG,76,5,16.1,1.4,3.9,.350,0.9,2.5,.353,0.5,1.4,.346,1.1,1.3,.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7
2013-14,26,TOT,NBA,PG,71,9,27.3,4.2,10.1,.415,1.9,4.7,.401,2.3,5.4,.427,2.8,3.2,.885,0.2,1.6,1.8,4.4,0.7,0.0,1.8,2.1,13.1
2013-14,26,TOR,NBA,PG,10,0,8.2,0.7,2.4,.292,0.1,1.1,.091,0.6,1.3,.462,0.6,0.6,1.000,0.0,0.4,0.4,1.0,0.1,0.0,0.9,0.7,2.1
2013-14,26,CHI,NBA,PG,61,9,30.4,4.8,11.4,.419,2.2,5.3,.411,2.6,6.1,.426,3.2,3.6,.882,0.2,1.8,2.1,5.0,0.9,0.0,1.9,2.3,14.9
Career,,,NBA,,429,156,25.0,3.3,8.2,.404,1.3,3.4,.377,2.0,4.8,.422,2.3,2.6,.874,0.3,1.5,1.8,4.0,0.6,0.0,1.5,1.6,10.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHA,NBA,,282,142,26.8,3.6,8.9,.407,1.2,3.3,.374,2.4,5.5,.426,2.4,2.8,.876,0.3,1.7,2.0,4.4,0.6,0.0,1.6,1.7,10.9
1 season,,IND,NBA,,76,5,16.1,1.4,3.9,.350,0.9,2.5,.353,0.5,1.4,.346,1.1,1.3,.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7
1 season,,CHI,NBA,,61,9,30.4,4.8,11.4,.419,2.2,5.3,.411,2.6,6.1,.426,3.2,3.6,.882,0.2,1.8,2.1,5.0,0.9,0.0,1.9,2.3,14.9
1 season,,TOR,NBA,,10,0,8.2,0.7,2.4,.292,0.1,1.1,.091,0.6,1.3,.462,0.6,0.6,1.000,0.0,0.4,0.4,1.0,0.1,0.0,0.9,0.7,2.1
