
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,TOT,NBA,PG,81,2,15.7,1.9,4.5,.418,0.3,0.9,.310,1.6,3.7,.444,0.6,0.9,.722,0.3,1.3,1.6,3.3,0.5,0.1,1.0,1.4,4.7
2009-10,22,UTA,NBA,PG,26,2,14.0,2.0,5.1,.391,0.2,0.9,.208,1.8,4.2,.431,1.0,1.3,.758,0.4,1.1,1.5,3.1,0.5,0.1,1.1,1.3,5.2
2009-10,22,OKC,NBA,PG,55,0,16.5,1.9,4.3,.434,0.3,0.9,.362,1.5,3.4,.452,0.5,0.7,.692,0.2,1.5,1.7,3.4,0.5,0.1,1.0,1.5,4.5
2010-11,23,OKC,NBA,PG,82,0,14.6,1.6,4.1,.402,0.5,1.2,.385,1.2,2.9,.409,0.5,0.7,.729,0.3,1.2,1.5,2.9,0.4,0.1,0.9,1.2,4.2
2011-12,24,OKC,NBA,PG,9,0,15.2,1.6,4.3,.359,0.7,1.9,.353,0.9,2.4,.364,0.4,0.4,1.000,0.3,1.1,1.4,2.4,0.6,0.0,1.2,1.4,4.2
2012-13,25,TOT,NBA,PG-SG,64,0,15.0,1.7,4.4,.377,0.5,1.5,.354,1.1,2.9,.389,0.7,1.0,.726,0.1,0.6,0.7,2.8,0.3,0.0,1.2,0.9,4.5
2012-13,25,OKC,NBA,PG,37,0,10.6,1.0,3.1,.313,0.4,1.2,.326,0.6,1.9,.304,0.5,0.6,.810,0.1,0.4,0.5,2.0,0.3,0.0,0.8,0.5,2.8
2012-13,25,POR,NBA,SG,27,0,21.2,2.6,6.1,.422,0.7,1.9,.380,1.9,4.3,.440,1.0,1.5,.683,0.1,0.9,1.0,4.0,0.4,0.0,1.8,1.3,6.9
2013-14,26,TOT,NBA,PG,31,0,10.5,1.0,3.3,.317,0.4,1.2,.324,0.6,2.1,.313,0.2,0.4,.545,0.3,1.0,1.3,1.7,0.3,0.1,0.9,0.5,2.6
2013-14,26,WAS,NBA,PG,23,0,9.3,0.9,3.1,.292,0.3,1.1,.320,0.6,2.0,.277,0.1,0.1,.667,0.3,0.7,1.0,1.7,0.2,0.0,0.7,0.6,2.3
2013-14,26,PHI,NBA,PG,8,0,14.0,1.4,3.6,.379,0.5,1.5,.333,0.9,2.1,.412,0.5,1.0,.500,0.3,1.6,1.9,1.5,0.5,0.3,1.5,0.5,3.8
Career,,,NBA,,267,2,14.6,1.6,4.2,.392,0.4,1.2,.350,1.2,3.0,.409,0.6,0.8,.721,0.3,1.1,1.3,2.8,0.4,0.1,1.1,1.1,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,OKC,NBA,,183,0,14.4,1.6,3.9,.396,0.4,1.1,.364,1.2,2.8,.409,0.5,0.7,.740,0.2,1.1,1.3,2.8,0.4,0.1,1.0,1.1,4.0
1 season,,POR,NBA,,27,0,21.2,2.6,6.1,.422,0.7,1.9,.380,1.9,4.3,.440,1.0,1.5,.683,0.1,0.9,1.0,4.0,0.4,0.0,1.8,1.3,6.9
1 season,,UTA,NBA,,26,2,14.0,2.0,5.1,.391,0.2,0.9,.208,1.8,4.2,.431,1.0,1.3,.758,0.4,1.1,1.5,3.1,0.5,0.1,1.1,1.3,5.2
1 season,,WAS,NBA,,23,0,9.3,0.9,3.1,.292,0.3,1.1,.320,0.6,2.0,.277,0.1,0.1,.667,0.3,0.7,1.0,1.7,0.2,0.0,0.7,0.6,2.3
1 season,,PHI,NBA,,8,0,14.0,1.4,3.6,.379,0.5,1.5,.333,0.9,2.1,.412,0.5,1.0,.500,0.3,1.6,1.9,1.5,0.5,0.3,1.5,0.5,3.8
