
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,PHI,NBA,SG,78,14,23.0,2.9,6.8,.425,0.2,0.6,.318,2.7,6.2,.435,1.3,1.6,.808,0.5,3.4,3.9,2.0,0.6,0.2,1.0,1.8,7.2
2011-12,23,PHI,NBA,SF,65,20,26.4,4.0,9.1,.446,0.2,0.8,.224,3.9,8.3,.466,1.1,1.7,.676,0.4,5.4,5.8,2.8,0.6,0.3,1.6,1.8,9.4
2012-13,24,PHI,NBA,SF,82,82,35.3,5.4,12.8,.419,0.7,1.9,.365,4.7,10.9,.428,1.9,2.5,.740,0.7,5.6,6.3,4.3,0.9,0.2,2.3,2.4,13.3
2013-14,25,TOT,NBA,SF,81,56,30.3,5.4,12.6,.425,0.6,1.9,.321,4.7,10.7,.444,2.6,3.2,.813,0.8,4.3,5.0,3.2,0.8,0.1,2.3,2.4,14.0
2013-14,25,PHI,NBA,SF,54,54,34.9,6.6,15.4,.428,0.7,2.4,.288,5.9,12.9,.455,3.5,4.2,.829,0.9,5.0,6.0,3.7,1.0,0.1,2.9,2.7,17.4
2013-14,25,IND,NBA,SF,27,2,21.1,2.9,7.0,.411,0.4,0.9,.500,2.4,6.1,.398,0.9,1.3,.706,0.4,2.7,3.2,2.4,0.4,0.1,1.3,1.8,7.1
Career,,,NBA,,306,172,29.0,4.5,10.4,.427,0.4,1.3,.326,4.0,9.1,.442,1.8,2.3,.770,0.6,4.6,5.3,3.1,0.7,0.2,1.8,2.1,11.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,279,170,29.7,4.6,10.8,.428,0.4,1.4,.315,4.2,9.4,.444,1.9,2.4,.773,0.6,4.8,5.5,3.2,0.8,0.2,1.9,2.1,11.5
1 season,,IND,NBA,,27,2,21.1,2.9,7.0,.411,0.4,0.9,.500,2.4,6.1,.398,0.9,1.3,.706,0.4,2.7,3.2,2.4,0.4,0.1,1.3,1.8,7.1
