
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,BOS,NBA,SG,32,3,11.7,2.1,4.3,.478,0.2,0.6,.300,1.9,3.7,.508,0.9,1.2,.784,0.3,1.0,1.3,0.6,0.4,0.1,0.7,1.3,5.2
2006-07,21,BOS,NBA,SF,81,26,22.0,3.8,9.1,.419,1.2,3.2,.368,2.7,5.9,.447,1.6,2.0,.805,0.8,1.7,2.6,1.0,0.5,0.3,1.5,2.4,10.4
2007-08,22,TOT,NBA,SF,30,0,12.1,1.7,5.0,.344,0.5,1.3,.385,1.2,3.7,.330,1.1,1.4,.829,0.4,1.7,2.1,1.0,0.3,0.1,1.1,1.5,5.1
2007-08,22,MIN,NBA,SF,29,0,12.3,1.7,5.1,.331,0.5,1.3,.385,1.2,3.8,.312,1.2,1.4,.829,0.4,1.8,2.1,1.0,0.3,0.1,1.1,1.5,5.1
2007-08,22,HOU,NBA,SF,1,0,4.0,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
2008-09,23,DAL,NBA,SG,38,12,9.9,2.1,4.7,.439,0.4,1.2,.304,1.7,3.5,.485,0.7,0.8,.844,0.4,1.1,1.4,0.4,0.3,0.1,0.9,1.3,5.2
2011-12,26,NJN,NBA,SF,31,2,25.2,5.0,10.3,.481,1.4,3.5,.391,3.6,6.8,.529,1.6,2.1,.754,0.5,3.0,3.5,1.1,0.9,0.5,1.8,2.6,12.9
2012-13,27,IND,NBA,SF,60,7,18.0,2.6,7.1,.366,1.0,3.1,.314,1.6,3.9,.407,0.9,1.1,.800,0.5,1.8,2.4,0.8,0.3,0.4,0.9,1.1,7.0
2013-14,28,PHO,NBA,SG,82,48,28.4,5.5,12.3,.445,2.5,6.2,.400,3.0,6.0,.492,2.4,2.8,.848,0.6,2.8,3.4,1.5,0.9,0.5,1.8,2.7,15.8
Career,,,NBA,,354,98,20.0,3.6,8.4,.427,1.2,3.3,.372,2.3,5.0,.463,1.5,1.8,.817,0.6,2.0,2.5,1.0,0.5,0.3,1.3,2.0,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,113,29,19.1,3.3,7.8,.429,0.9,2.5,.363,2.4,5.3,.459,1.4,1.7,.801,0.7,1.5,2.2,0.9,0.5,0.2,1.3,2.1,8.9
1 season,,PHO,NBA,,82,48,28.4,5.5,12.3,.445,2.5,6.2,.400,3.0,6.0,.492,2.4,2.8,.848,0.6,2.8,3.4,1.5,0.9,0.5,1.8,2.7,15.8
1 season,,IND,NBA,,60,7,18.0,2.6,7.1,.366,1.0,3.1,.314,1.6,3.9,.407,0.9,1.1,.800,0.5,1.8,2.4,0.8,0.3,0.4,0.9,1.1,7.0
1 season,,DAL,NBA,,38,12,9.9,2.1,4.7,.439,0.4,1.2,.304,1.7,3.5,.485,0.7,0.8,.844,0.4,1.1,1.4,0.4,0.3,0.1,0.9,1.3,5.2
1 season,,NJN,NBA,,31,2,25.2,5.0,10.3,.481,1.4,3.5,.391,3.6,6.8,.529,1.6,2.1,.754,0.5,3.0,3.5,1.1,0.9,0.5,1.8,2.6,12.9
1 season,,MIN,NBA,,29,0,12.3,1.7,5.1,.331,0.5,1.3,.385,1.2,3.8,.312,1.2,1.4,.829,0.4,1.8,2.1,1.0,0.3,0.1,1.1,1.5,5.1
1 season,,HOU,NBA,,1,0,4.0,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
