
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,MEM,NBA,SG,70,1,12.3,1.4,3.3,.408,0.4,1.2,.291,1.0,2.1,.476,0.5,0.6,.773,0.2,0.9,1.0,2.2,0.3,0.1,1.0,1.2,3.6
2011-12,25,NOH,NBA,SG,66,26,25.8,3.4,7.9,.430,0.7,2.0,.319,2.8,5.9,.469,1.5,1.8,.821,0.3,2.3,2.6,5.4,0.9,0.1,2.2,1.9,8.9
2012-13,26,NOH,NBA,PG,78,78,34.4,5.6,13.0,.433,1.1,3.1,.342,4.6,9.9,.462,1.6,2.0,.805,0.6,3.8,4.3,9.0,0.8,0.1,3.2,2.4,13.9
2013-14,27,TOT,NBA,SG-PG,79,23,22.5,3.5,8.3,.421,1.4,3.7,.377,2.1,4.7,.455,1.2,1.4,.880,0.3,1.9,2.2,4.1,0.4,0.1,1.6,1.8,9.6
2013-14,27,SAC,NBA,PG,18,18,25.8,3.6,8.3,.433,0.9,2.8,.320,2.7,5.6,.490,1.7,1.8,.938,0.3,1.6,1.9,5.3,0.3,0.1,1.5,2.1,9.8
2013-14,27,TOR,NBA,SG,61,5,21.5,3.5,8.3,.417,1.5,3.9,.389,2.0,4.4,.442,1.1,1.2,.855,0.2,2.0,2.3,3.7,0.4,0.1,1.7,1.7,9.5
Career,,,NBA,,293,128,24.0,3.5,8.3,.427,0.9,2.6,.345,2.6,5.7,.463,1.2,1.4,.825,0.3,2.2,2.6,5.2,0.6,0.1,2.0,1.8,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,144,104,30.5,4.6,10.7,.432,0.9,2.6,.333,3.7,8.0,.464,1.5,1.9,.812,0.5,3.1,3.5,7.4,0.9,0.1,2.7,2.2,11.6
1 season,,MEM,NBA,,70,1,12.3,1.4,3.3,.408,0.4,1.2,.291,1.0,2.1,.476,0.5,0.6,.773,0.2,0.9,1.0,2.2,0.3,0.1,1.0,1.2,3.6
1 season,,TOR,NBA,,61,5,21.5,3.5,8.3,.417,1.5,3.9,.389,2.0,4.4,.442,1.1,1.2,.855,0.2,2.0,2.3,3.7,0.4,0.1,1.7,1.7,9.5
1 season,,SAC,NBA,,18,18,25.8,3.6,8.3,.433,0.9,2.8,.320,2.7,5.6,.490,1.7,1.8,.938,0.3,1.6,1.9,5.3,0.3,0.1,1.5,2.1,9.8
