
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,SAS,NBA,SF,26,2,11.0,1.2,3.1,.383,0.7,1.8,.391,0.5,1.3,.371,0.5,0.7,.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6
2011-12,22,SAS,NBA,SG,51,2,11.8,1.3,3.4,.379,0.4,1.3,.279,0.9,2.1,.443,0.8,1.0,.750,0.3,1.2,1.5,0.8,0.2,0.0,0.6,0.7,3.7
2012-13,23,TOT,NBA,SG-SF,39,2,10.3,1.3,3.2,.413,0.5,1.5,.350,0.8,1.7,.470,0.6,0.7,.857,0.5,1.4,1.8,1.1,0.4,0.1,0.6,0.6,3.8
2012-13,23,SAS,NBA,SF,10,0,9.4,1.1,2.5,.440,0.5,1.1,.455,0.6,1.4,.429,0.7,0.9,.778,0.3,1.1,1.4,0.9,0.3,0.2,0.7,0.7,3.4
2012-13,23,HOU,NBA,SG,29,2,10.6,1.4,3.5,.406,0.6,1.7,.327,0.9,1.8,.481,0.6,0.7,.895,0.5,1.5,2.0,1.1,0.4,0.1,0.6,0.6,4.0
2013-14,24,PHI,NBA,SG,80,62,28.9,3.9,9.0,.431,1.4,4.4,.328,2.4,4.6,.530,1.0,1.3,.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,10.1
Career,,,NBA,,196,68,18.4,2.3,5.6,.417,0.9,2.7,.330,1.5,2.9,.497,0.8,1.0,.755,0.5,1.9,2.4,1.3,0.5,0.2,0.9,1.2,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,87,4,11.3,1.2,3.2,.386,0.5,1.4,.336,0.8,1.8,.426,0.7,0.9,.759,0.2,1.1,1.3,0.8,0.2,0.1,0.6,0.8,3.7
1 season,,PHI,NBA,,80,62,28.9,3.9,9.0,.431,1.4,4.4,.328,2.4,4.6,.530,1.0,1.3,.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,10.1
1 season,,HOU,NBA,,29,2,10.6,1.4,3.5,.406,0.6,1.7,.327,0.9,1.8,.481,0.6,0.7,.895,0.5,1.5,2.0,1.1,0.4,0.1,0.6,0.6,4.0
