
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,IND,NBA,SF,6,0,4.3,0.3,1.5,.222,0.2,0.7,.250,0.2,0.8,.200,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.2,0.0,0.0,0.2,1.2
2004-05,24,IND,NBA,SF,75,24,17.7,1.7,4.2,.396,0.9,2.2,.398,0.8,2.0,.395,0.7,0.8,.855,0.5,1.8,2.3,0.8,0.4,0.4,0.6,1.6,4.9
2005-06,25,PHO,NBA,SF,75,24,23.6,3.2,7.7,.418,1.5,3.8,.386,1.8,3.9,.449,1.4,1.6,.851,0.6,2.8,3.4,0.8,0.5,0.7,0.5,1.9,9.3
2006-07,26,PHO,NBA,SF,76,7,18.1,2.1,5.8,.368,1.2,3.1,.378,0.9,2.7,.356,0.9,1.1,.877,0.4,1.9,2.3,0.6,0.4,0.6,0.4,1.5,6.4
2007-08,27,POR,NBA,SF,58,3,22.0,2.5,5.6,.437,1.6,3.5,.444,0.9,2.1,.426,1.5,1.7,.878,0.7,2.0,2.8,0.6,0.4,0.3,0.5,1.7,8.0
2008-09,28,MIA,NBA,SF,40,1,15.8,1.4,3.7,.369,0.8,2.4,.344,0.6,1.3,.415,0.7,0.8,.839,0.3,1.3,1.6,0.5,0.3,0.4,0.3,1.5,4.2
2009-10,29,MIA,NBA,SF,36,6,14.0,1.2,3.3,.361,1.0,2.5,.411,0.2,0.8,.207,0.6,0.8,.821,0.1,1.1,1.3,0.5,0.3,0.1,0.3,1.3,4.1
2010-11,30,MIA,NBA,SF,81,8,19.1,1.8,4.3,.422,1.5,3.5,.429,0.3,0.7,.390,0.7,0.9,.833,0.3,1.7,2.0,0.5,0.4,0.2,0.3,1.6,5.9
2011-12,31,MIA,NBA,SG,51,10,13.1,1.1,2.9,.380,0.9,2.2,.404,0.2,0.7,.306,0.5,0.6,.833,0.1,0.8,1.0,0.4,0.3,0.2,0.2,0.9,3.6
2012-13,32,MIA,NBA,SF,38,0,5.8,0.6,1.6,.344,0.4,1.4,.302,0.1,0.2,.625,0.1,0.1,.500,0.0,0.6,0.6,0.3,0.1,0.2,0.1,0.4,1.6
2013-14,33,MIA,NBA,SF,20,6,11.8,1.6,3.4,.456,1.4,2.7,.519,0.2,0.7,.214,0.4,0.6,.636,0.1,1.1,1.2,0.5,0.2,0.2,0.2,0.3,4.9
Career,,,NBA,,556,89,17.2,1.9,4.6,.401,1.2,2.9,.403,0.7,1.8,.398,0.8,1.0,.848,0.4,1.7,2.0,0.6,0.4,0.3,0.4,1.4,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIA,NBA,,266,31,14.3,1.3,3.4,.395,1.1,2.6,.408,0.3,0.7,.352,0.5,0.7,.813,0.2,1.2,1.4,0.5,0.3,0.2,0.2,1.1,4.3
2 seasons,,PHO,NBA,,151,31,20.8,2.7,6.8,.397,1.3,3.5,.382,1.4,3.3,.412,1.2,1.3,.861,0.5,2.3,2.8,0.7,0.4,0.6,0.4,1.7,7.8
2 seasons,,IND,NBA,,81,24,16.7,1.6,4.0,.391,0.8,2.1,.394,0.8,1.9,.389,0.7,0.8,.859,0.5,1.7,2.2,0.7,0.4,0.3,0.5,1.5,4.7
1 season,,POR,NBA,,58,3,22.0,2.5,5.6,.437,1.6,3.5,.444,0.9,2.1,.426,1.5,1.7,.878,0.7,2.0,2.8,0.6,0.4,0.3,0.5,1.7,8.0
