
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,POR,NBA,SG,79,4,20.2,2.4,5.4,.442,0.3,1.0,.263,2.1,4.5,.480,1.6,2.0,.800,0.2,1.8,2.0,2.8,0.5,0.0,1.3,1.7,6.7
2006-07,23,POR,NBA,PG,79,79,33.6,4.1,8.9,.454,0.8,2.3,.350,3.3,6.6,.490,3.1,3.5,.871,0.2,2.4,2.6,5.3,1.1,0.1,2.4,2.6,12.0
2007-08,24,POR,NBA,SG,82,16,27.2,3.3,7.6,.431,0.8,2.3,.342,2.5,5.2,.470,2.6,3.0,.867,0.4,2.5,2.9,3.8,0.7,0.0,2.2,1.6,9.9
2008-09,25,IND,NBA,SG,82,53,33.1,4.7,10.4,.453,1.0,2.7,.353,3.8,7.7,.487,2.7,3.2,.852,0.5,2.8,3.4,4.1,1.1,0.2,2.2,2.2,13.1
2009-10,26,TOR,NBA,PG,82,43,27.4,3.9,8.2,.481,1.0,2.4,.412,2.9,5.8,.511,2.5,2.9,.842,0.4,2.3,2.7,5.0,0.7,0.1,2.0,1.8,11.4
2010-11,27,TOT,NBA,SG-PG,83,15,20.7,3.1,7.7,.408,0.4,1.3,.306,2.7,6.4,.429,2.2,2.6,.850,0.2,1.8,2.1,2.9,0.7,0.1,1.3,1.2,8.9
2010-11,27,TOR,NBA,PG,13,13,26.7,3.7,9.4,.393,0.3,1.8,.167,3.4,7.5,.449,3.1,3.5,.870,0.5,2.8,3.2,4.5,1.1,0.0,2.6,1.9,10.8
2010-11,27,NOH,NBA,SG,70,2,19.6,3.0,7.4,.412,0.4,1.2,.345,2.6,6.2,.425,2.0,2.4,.845,0.2,1.7,1.9,2.6,0.6,0.1,1.1,1.1,8.5
2011-12,28,NOH,NBA,PG,45,39,34.0,5.9,13.0,.456,0.9,2.5,.348,5.0,10.5,.482,2.9,3.3,.872,0.5,3.4,3.9,6.3,0.7,0.2,2.4,2.1,15.6
2012-13,29,GSW,NBA,SG,79,4,29.7,4.9,10.8,.452,1.0,2.6,.404,3.9,8.3,.466,2.1,2.5,.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,12.9
2013-14,30,CLE,NBA,PG,80,31,28.2,3.6,8.7,.410,0.8,2.3,.341,2.8,6.4,.435,1.6,1.9,.839,0.3,2.5,2.8,4.1,0.7,0.3,1.7,1.7,9.5
Career,,,NBA,,691,284,27.9,3.9,8.8,.443,0.8,2.1,.356,3.1,6.6,.472,2.3,2.7,.851,0.3,2.4,2.8,4.3,0.8,0.1,1.9,1.8,10.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,240,99,27.0,3.2,7.3,.443,0.6,1.9,.332,2.6,5.4,.480,2.4,2.9,.853,0.3,2.2,2.5,4.0,0.8,0.1,1.9,2.0,9.5
2 seasons,,NOH,NBA,,115,41,25.3,4.2,9.5,.435,0.6,1.7,.347,3.6,7.8,.455,2.4,2.7,.858,0.3,2.3,2.7,4.1,0.6,0.1,1.6,1.5,11.3
2 seasons,,TOR,NBA,,95,56,27.3,3.9,8.3,.468,0.9,2.3,.386,3.0,6.0,.500,2.6,3.0,.847,0.4,2.4,2.8,5.0,0.8,0.1,2.1,1.9,11.3
1 season,,IND,NBA,,82,53,33.1,4.7,10.4,.453,1.0,2.7,.353,3.8,7.7,.487,2.7,3.2,.852,0.5,2.8,3.4,4.1,1.1,0.2,2.2,2.2,13.1
1 season,,CLE,NBA,,80,31,28.2,3.6,8.7,.410,0.8,2.3,.341,2.8,6.4,.435,1.6,1.9,.839,0.3,2.5,2.8,4.1,0.7,0.3,1.7,1.7,9.5
1 season,,GSW,NBA,,79,4,29.7,4.9,10.8,.452,1.0,2.6,.404,3.9,8.3,.466,2.1,2.5,.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,12.9
