
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,24,TOT,NBA,PF,13,0,4.5,0.2,0.5,.429,0.0,0.0,,0.2,0.5,.429,0.2,0.3,.500,0.2,0.5,0.7,0.2,0.1,0.2,0.5,0.8,0.6
2012-13,24,BOS,NBA,PF,5,0,3.6,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,0.4,0.8,.500,0.2,0.4,0.6,0.2,0.2,0.0,0.2,0.2,1.2
2012-13,24,MIA,NBA,PF,8,0,5.0,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,0.0,0.0,,0.1,0.6,0.8,0.3,0.0,0.3,0.6,1.1,0.3
2013-14,25,TOT,NBA,PF,24,0,14.1,1.5,2.5,.600,0.0,0.0,,1.5,2.5,.600,1.1,2.2,.519,0.8,1.8,2.6,0.5,0.4,1.2,0.4,2.6,4.1
2013-14,25,CHI,NBA,PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-14,25,PHI,NBA,PF,23,0,14.7,1.6,2.6,.600,0.0,0.0,,1.6,2.6,.600,1.2,2.3,.519,0.8,1.9,2.7,0.6,0.4,1.3,0.4,2.7,4.3
Career,,,NBA,,37,0,10.7,1.1,1.8,.582,0.0,0.0,,1.1,1.8,.582,0.8,1.5,.518,0.6,1.4,1.9,0.4,0.3,0.8,0.4,1.9,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,PHI,NBA,,23,0,14.7,1.6,2.6,.600,0.0,0.0,,1.6,2.6,.600,1.2,2.3,.519,0.8,1.9,2.7,0.6,0.4,1.3,0.4,2.7,4.3
1 season,,MIA,NBA,,8,0,5.0,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,0.0,0.0,,0.1,0.6,0.8,0.3,0.0,0.3,0.6,1.1,0.3
1 season,,BOS,NBA,,5,0,3.6,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,0.4,0.8,.500,0.2,0.4,0.6,0.2,0.2,0.0,0.2,0.2,1.2
1 season,,CHI,NBA,,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
