
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,WAS,NBA,C,75,14,15.2,2.5,5.2,.494,0.0,0.0,,2.5,5.2,.494,1.4,2.2,.660,1.6,2.3,3.9,0.3,0.4,1.0,0.8,2.1,6.5
2009-10,22,WAS,NBA,C,60,19,16.1,2.6,5.1,.508,0.0,0.0,.000,2.6,5.1,.510,1.2,1.9,.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2.0,6.4
2010-11,23,WAS,NBA,C,79,75,27.8,4.2,7.6,.550,0.0,0.0,.000,4.2,7.6,.552,1.7,2.9,.583,2.8,5.2,8.0,0.5,0.5,2.4,1.3,2.9,10.1
2011-12,24,TOT,NBA,C,61,45,25.2,5.0,9.0,.556,0.0,0.0,,5.0,9.0,.556,1.3,2.7,.461,2.7,5.1,7.8,0.5,0.6,2.2,1.4,2.7,11.3
2011-12,24,WAS,NBA,C,41,40,27.4,5.2,9.8,.535,0.0,0.0,,5.2,9.8,.535,1.4,2.8,.500,3.1,5.7,8.8,0.6,0.6,2.5,1.7,2.9,11.9
2011-12,24,DEN,NBA,C,20,5,20.6,4.7,7.6,.612,0.0,0.0,,4.7,7.6,.612,1.0,2.6,.373,1.8,4.0,5.8,0.3,0.5,1.6,1.0,2.4,10.3
2012-13,25,DEN,NBA,C,79,0,18.1,3.8,6.7,.575,0.0,0.0,1.000,3.8,6.7,.574,1.4,2.4,.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,9.1
2013-14,26,DEN,NBA,C,5,5,15.8,3.4,7.6,.447,0.0,0.0,,3.4,7.6,.447,0.2,0.2,1.000,2.0,1.4,3.4,0.4,0.2,1.4,1.6,3.2,7.0
Career,,,NBA,,359,158,20.5,3.6,6.7,.541,0.0,0.0,.200,3.6,6.7,.541,1.4,2.4,.584,2.1,3.6,5.7,0.4,0.4,1.9,1.1,2.4,8.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,255,148,21.3,3.5,6.7,.526,0.0,0.0,.000,3.5,6.6,.527,1.5,2.4,.598,2.2,3.8,6.0,0.4,0.5,1.8,1.1,2.5,8.5
3 seasons,,DEN,NBA,,104,10,18.5,4.0,6.9,.576,0.0,0.0,1.000,4.0,6.9,.575,1.3,2.3,.546,2.0,3.0,4.9,0.3,0.4,1.9,1.1,2.4,9.2
