
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,GSW,NBA,C,42,23,13.5,2.1,5.0,.421,0.0,0.0,.000,2.1,5.0,.423,0.7,1.2,.558,1.3,2.0,3.3,0.4,0.4,0.5,0.9,2.0,4.9
2012-13,21,TOT,NBA,C,21,0,3.2,0.4,1.1,.375,0.0,0.0,,0.4,1.1,.375,0.2,0.3,.667,0.3,0.7,1.0,0.0,0.0,0.1,0.3,0.5,1.0
2012-13,21,GSW,NBA,C,20,0,3.2,0.5,1.2,.375,0.0,0.0,,0.5,1.2,.375,0.2,0.3,.667,0.3,0.6,0.9,0.1,0.1,0.1,0.3,0.5,1.1
2012-13,21,ATL,NBA,C,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,22,NYK,NBA,C,41,0,9.7,1.5,2.8,.517,0.0,0.0,,1.5,2.8,.517,0.6,1.2,.542,0.9,1.7,2.7,0.2,0.1,0.5,0.6,1.7,3.6
Career,,,NBA,,104,23,9.9,1.5,3.4,.450,0.0,0.0,.000,1.5,3.3,.451,0.6,1.0,.557,0.9,1.6,2.6,0.2,0.2,0.4,0.7,1.6,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,62,23,10.2,1.6,3.8,.416,0.0,0.0,.000,1.6,3.7,.418,0.5,0.9,.569,1.0,1.6,2.5,0.3,0.3,0.4,0.7,1.5,3.7
1 season,,NYK,NBA,,41,0,9.7,1.5,2.8,.517,0.0,0.0,,1.5,2.8,.517,0.6,1.2,.542,0.9,1.7,2.7,0.2,0.1,0.5,0.6,1.7,3.6
1 season,,ATL,NBA,,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
