
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,TOT,NBA,SG,60,0,12.0,1.7,4.5,.388,0.7,2.2,.318,1.0,2.3,.456,0.5,0.7,.795,0.2,1.5,1.7,0.7,0.3,0.1,0.4,0.9,4.7
2009-10,22,MIL,NBA,SG,41,0,11.9,1.6,4.3,.362,0.6,2.0,.280,1.0,2.3,.432,0.4,0.5,.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1
2009-10,22,PHI,NBA,SG,19,0,12.3,2.1,4.8,.440,1.0,2.6,.380,1.1,2.2,.512,0.7,0.9,.722,0.2,1.2,1.4,0.9,0.3,0.1,0.3,1.0,5.9
2010-11,23,PHI,NBA,SG,74,64,27.9,3.3,7.7,.425,1.9,4.7,.397,1.4,3.0,.468,2.1,2.3,.894,0.3,2.0,2.3,1.1,0.9,0.1,0.8,1.3,10.5
2011-12,24,PHI,NBA,SG,66,50,24.9,2.9,7.1,.409,1.5,4.0,.365,1.4,3.0,.468,1.2,1.3,.906,0.3,2.2,2.4,0.8,0.6,0.0,0.4,1.2,8.4
2012-13,25,LAL,NBA,SG,78,10,21.3,2.6,6.8,.387,1.6,4.4,.357,1.1,2.4,.441,1.1,1.2,.896,0.5,1.7,2.2,0.9,0.7,0.1,0.7,1.3,7.9
2013-14,26,LAL,NBA,SG,77,70,33.2,5.4,11.6,.463,2.1,5.2,.401,3.3,6.3,.514,2.9,3.4,.857,0.4,2.1,2.5,1.8,1.4,0.1,1.4,1.5,15.7
Career,,,NBA,,355,194,24.3,3.3,7.7,.424,1.6,4.2,.376,1.7,3.5,.481,1.6,1.8,.875,0.3,1.9,2.2,1.1,0.8,0.1,0.8,1.3,9.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,159,114,24.8,3.0,7.1,.419,1.6,4.2,.383,1.4,2.9,.472,1.5,1.7,.886,0.3,2.0,2.3,0.9,0.7,0.1,0.6,1.2,9.1
2 seasons,,LAL,NBA,,155,80,27.2,4.0,9.2,.435,1.8,4.8,.381,2.2,4.4,.494,2.0,2.3,.867,0.4,1.9,2.4,1.3,1.1,0.1,1.1,1.4,11.8
1 season,,MIL,NBA,,41,0,11.9,1.6,4.3,.362,0.6,2.0,.280,1.0,2.3,.432,0.4,0.5,.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1
