
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,25,MIA,NBA,PF,24,1,20.8,1.2,2.5,.467,0.0,0.0,,1.2,2.5,.467,1.2,2.0,.592,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5
2008-09,26,MIA,NBA,C,65,28,16.1,0.9,1.8,.483,0.0,0.0,,0.9,1.8,.483,0.5,0.7,.652,1.4,1.7,3.0,0.4,0.3,1.4,0.6,2.1,2.2
2009-10,27,MIA,NBA,C,80,16,16.5,1.0,2.0,.478,0.0,0.0,,1.0,2.0,.478,0.8,1.2,.717,1.5,1.6,3.1,0.2,0.3,1.4,0.6,2.0,2.7
2010-11,28,MIA,NBA,C,75,11,19.5,0.7,1.3,.535,0.0,0.0,,0.7,1.3,.535,0.6,1.0,.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2.0
2011-12,29,MIA,NBA,C,64,51,21.1,1.3,2.4,.559,0.0,0.0,,1.3,2.4,.559,0.8,1.1,.690,1.6,2.3,3.9,0.1,0.6,1.3,0.7,2.0,3.4
2012-13,30,MIA,NBA,C,62,3,9.1,0.6,1.1,.515,0.0,0.0,,0.6,1.1,.515,0.3,0.5,.607,0.7,1.1,1.9,0.2,0.2,0.7,0.4,0.8,1.4
2013-14,31,TOT,NBA,C,33,0,5.6,0.4,1.0,.375,0.0,0.0,,0.4,1.0,.375,0.1,0.2,.500,0.5,0.7,1.2,0.1,0.1,0.4,0.1,0.5,0.8
2013-14,31,MIA,NBA,C,12,0,3.1,0.2,0.5,.333,0.0,0.0,,0.2,0.5,.333,0.2,0.2,1.000,0.2,0.4,0.6,0.0,0.0,0.3,0.1,0.3,0.5
2013-14,31,BOS,NBA,C,21,0,7.1,0.5,1.2,.385,0.0,0.0,,0.5,1.2,.385,0.1,0.3,.333,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1.0
Career,,,NBA,,403,110,16.0,0.9,1.7,.503,0.0,0.0,,0.9,1.7,.503,0.6,0.9,.659,1.3,1.7,3.0,0.2,0.3,1.2,0.5,1.8,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIA,NBA,,382,110,16.4,0.9,1.7,.508,0.0,0.0,,0.9,1.7,.508,0.6,0.9,.665,1.3,1.8,3.1,0.2,0.3,1.2,0.5,1.9,2.4
1 season,,BOS,NBA,,21,0,7.1,0.5,1.2,.385,0.0,0.0,,0.5,1.2,.385,0.1,0.3,.333,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1.0
