
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,23,PHI,NBA,PG,64,1,7.9,0.8,1.8,.414,0.2,0.5,.323,0.6,1.3,.447,0.4,0.5,.743,0.3,0.7,0.9,0.7,0.3,0.1,0.5,0.8,2.1
2003-04,24,PHI,NBA,SG,77,24,20.8,2.1,5.4,.387,0.6,1.9,.340,1.4,3.5,.413,0.9,1.2,.772,0.5,2.1,2.5,1.7,0.8,0.2,1.0,1.6,5.8
2004-05,25,PHI,NBA,SG,58,8,17.1,1.5,3.6,.405,0.5,1.6,.341,0.9,2.1,.454,0.6,0.8,.729,0.2,1.9,2.1,2.0,0.7,0.2,0.9,1.6,4.1
2005-06,26,PHI,NBA,SG,82,24,25.1,2.7,6.4,.420,0.3,1.1,.299,2.4,5.3,.445,1.9,2.4,.775,0.6,2.1,2.7,2.7,0.9,0.2,1.5,2.2,7.5
2006-07,27,SAC,NBA,SG,79,19,27.0,3.0,6.5,.456,0.5,1.4,.357,2.5,5.1,.484,2.0,2.6,.779,0.6,2.7,3.3,3.2,0.9,0.3,1.5,2.2,8.5
2007-08,28,SAC,NBA,SG,81,41,31.1,4.7,9.9,.477,0.5,1.5,.325,4.2,8.4,.504,2.6,3.2,.823,0.9,3.4,4.3,2.6,1.1,0.4,2.1,2.1,12.5
2008-09,29,TOT,NBA,SF,79,74,37.5,6.5,13.8,.472,1.6,3.8,.417,4.9,10.0,.493,3.6,4.4,.830,0.7,3.5,4.2,3.2,1.1,0.3,2.1,2.3,18.3
2008-09,29,SAC,NBA,SF,53,53,37.4,6.6,14.0,.472,1.5,3.5,.418,5.2,10.6,.489,3.6,4.4,.823,0.8,3.4,4.2,3.7,1.1,0.2,2.3,2.3,18.3
2008-09,29,CHI,NBA,SF,26,21,37.7,6.3,13.4,.473,1.9,4.5,.415,4.5,8.9,.502,3.7,4.4,.843,0.6,3.7,4.3,2.0,1.0,0.6,1.7,2.3,18.3
2009-10,30,TOT,NBA,SG,81,56,34.9,5.4,12.2,.441,1.5,3.8,.382,3.9,8.4,.468,3.1,3.8,.830,0.4,2.9,3.3,2.8,1.2,0.3,1.5,2.0,15.4
2009-10,30,CHI,NBA,SG,51,28,33.2,4.5,10.7,.420,1.4,3.8,.380,3.1,7.0,.441,2.3,2.9,.789,0.4,3.1,3.4,2.5,1.3,0.4,1.4,2.0,12.7
2009-10,30,MIL,NBA,SG,30,28,37.6,6.9,14.8,.467,1.5,3.9,.385,5.4,10.9,.497,4.6,5.3,.867,0.6,2.6,3.2,3.3,1.1,0.1,1.8,2.2,19.9
2010-11,31,MIL,NBA,SG,73,70,35.0,5.1,12.3,.415,1.1,3.0,.379,4.0,9.3,.427,2.7,3.3,.813,0.4,3.3,3.6,3.5,1.0,0.4,1.9,2.2,14.0
2011-12,32,SAC,NBA,SF,46,32,27.2,3.1,7.5,.409,0.7,2.4,.295,2.3,5.1,.464,0.6,1.0,.644,0.4,2.5,2.9,2.0,0.8,0.2,1.0,1.7,7.5
2012-13,33,SAC,NBA,SF,76,72,30.0,3.2,8.1,.399,1.3,3.5,.371,1.9,4.5,.420,1.1,1.4,.773,0.4,2.3,2.7,3.0,0.7,0.3,1.1,1.9,8.8
2013-14,34,TOT,NBA,SG-SF,78,8,22.1,1.9,5.3,.363,0.8,2.1,.387,1.1,3.2,.348,0.5,0.7,.769,0.3,1.8,2.1,1.9,0.6,0.2,0.7,1.6,5.2
2013-14,34,SAC,NBA,SF,18,8,24.7,2.3,6.5,.350,0.9,2.3,.381,1.4,4.2,.333,0.4,0.4,1.000,0.4,2.1,2.6,2.4,0.7,0.4,0.8,1.8,5.8
2013-14,34,TOR,NBA,SG,60,0,21.4,1.8,4.9,.368,0.8,2.0,.388,1.0,2.9,.354,0.6,0.8,.733,0.2,1.8,2.0,1.7,0.6,0.2,0.7,1.5,5.0
Career,,,NBA,,874,429,26.8,3.4,7.9,.432,0.8,2.2,.366,2.6,5.7,.457,1.8,2.2,.800,0.5,2.5,3.0,2.5,0.9,0.3,1.4,1.9,9.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,SAC,NBA,,353,225,30.0,3.9,8.9,.445,0.9,2.4,.363,3.1,6.5,.475,1.9,2.4,.798,0.6,2.8,3.5,2.9,0.9,0.3,1.6,2.0,10.7
4 seasons,,PHI,NBA,,281,57,18.4,1.8,4.5,.406,0.4,1.3,.329,1.4,3.2,.437,1.0,1.3,.765,0.4,1.7,2.1,1.8,0.7,0.2,1.0,1.6,5.1
2 seasons,,MIL,NBA,,103,98,35.8,5.6,13.0,.433,1.2,3.3,.381,4.4,9.8,.450,3.2,3.9,.834,0.4,3.1,3.5,3.4,1.0,0.3,1.8,2.2,15.7
2 seasons,,CHI,NBA,,77,49,34.7,5.1,11.6,.440,1.6,4.0,.394,3.5,7.6,.465,2.8,3.4,.813,0.4,3.3,3.7,2.3,1.2,0.5,1.5,2.1,14.6
1 season,,TOR,NBA,,60,0,21.4,1.8,4.9,.368,0.8,2.0,.388,1.0,2.9,.354,0.6,0.8,.733,0.2,1.8,2.0,1.7,0.6,0.2,0.7,1.5,5.0
