
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,MIL,NBA,PF,46,12,12.1,2.1,4.2,.508,0.1,0.2,.333,2.0,4.0,.516,0.5,0.6,.750,1.0,1.6,2.6,0.5,0.3,0.4,0.4,1.5,4.7
2012-13,23,TOT,NBA,PF-C,28,0,6.7,0.9,1.9,.481,0.0,0.1,.000,0.9,1.8,.510,0.2,0.5,.462,0.5,0.9,1.3,0.3,0.2,0.0,0.3,0.8,2.0
2012-13,23,CLE,NBA,C,9,0,10.1,1.1,3.1,.357,0.0,0.3,.000,1.1,2.8,.400,0.2,0.7,.333,0.6,0.9,1.4,0.6,0.2,0.0,0.6,1.2,2.4
2012-13,23,MEM,NBA,PF,19,0,5.1,0.8,1.3,.625,0.0,0.0,,0.8,1.3,.625,0.2,0.4,.571,0.4,0.8,1.3,0.2,0.2,0.0,0.2,0.5,1.8
2013-14,24,MEM,NBA,PF,49,0,13.1,2.5,5.0,.492,0.5,1.0,.469,2.0,4.0,.497,0.8,1.0,.787,0.8,2.5,3.2,0.4,0.4,0.3,0.6,1.3,6.2
Career,,,NBA,,123,12,11.3,2.0,4.0,.497,0.2,0.5,.426,1.8,3.5,.507,0.5,0.7,.727,0.8,1.8,2.6,0.4,0.3,0.2,0.4,1.2,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MEM,NBA,,68,0,10.9,2.0,4.0,.504,0.3,0.7,.469,1.7,3.3,.511,0.6,0.8,.759,0.7,2.0,2.7,0.3,0.3,0.2,0.4,1.1,4.9
1 season,,MIL,NBA,,46,12,12.1,2.1,4.2,.508,0.1,0.2,.333,2.0,4.0,.516,0.5,0.6,.750,1.0,1.6,2.6,0.5,0.3,0.4,0.4,1.5,4.7
1 season,,CLE,NBA,,9,0,10.1,1.1,3.1,.357,0.0,0.3,.000,1.1,2.8,.400,0.2,0.7,.333,0.6,0.9,1.4,0.6,0.2,0.0,0.6,1.2,2.4
