
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22,DAL,NBA,PG,33,1,5.8,0.8,2.4,.359,0.2,0.6,.286,0.7,1.7,.386,0.5,0.7,.667,0.2,0.5,0.8,0.7,0.0,0.0,0.4,0.6,2.4
2007-08,23,DAL,NBA,PG,44,9,10.5,1.6,3.9,.418,0.5,1.2,.389,1.1,2.6,.431,0.6,0.8,.800,0.1,1.0,1.1,1.3,0.3,0.0,0.8,1.1,4.3
2008-09,24,DAL,NBA,SG,79,15,20.3,3.1,7.1,.442,0.7,1.9,.357,2.4,5.1,.474,0.9,1.2,.753,0.5,1.8,2.2,3.4,0.5,0.1,1.3,1.5,7.8
2009-10,25,DAL,NBA,PG,78,18,19.8,3.0,6.8,.440,0.7,2.0,.357,2.3,4.7,.476,1.0,1.2,.844,0.2,1.7,1.9,3.3,0.4,0.1,1.3,1.5,7.6
2010-11,26,DAL,NBA,PG,81,2,20.6,3.5,8.0,.439,0.8,2.3,.349,2.7,5.7,.476,1.6,1.9,.847,0.4,1.6,2.0,3.9,0.4,0.0,1.7,1.7,9.5
2011-12,27,MIN,NBA,PG,41,11,25.2,4.1,10.2,.400,1.3,3.5,.371,2.8,6.7,.415,1.9,2.4,.776,0.3,2.4,2.8,5.7,0.5,0.0,2.5,1.5,11.3
2012-13,28,MIN,NBA,PG,74,2,23.1,4.3,10.2,.417,1.3,3.8,.346,3.0,6.5,.458,1.4,1.8,.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,11.3
2013-14,29,MIN,NBA,PG,79,1,18.6,3.2,8.3,.387,0.9,2.9,.316,2.3,5.4,.426,1.0,1.3,.790,0.2,1.7,1.9,3.8,0.3,0.0,1.6,1.6,8.4
Career,,,NBA,,509,59,19.0,3.1,7.5,.419,0.8,2.4,.347,2.3,5.1,.454,1.1,1.4,.798,0.3,1.7,2.0,3.4,0.4,0.0,1.5,1.5,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DAL,NBA,,315,45,17.4,2.7,6.3,.435,0.6,1.8,.355,2.1,4.5,.468,1.0,1.3,.810,0.3,1.5,1.8,2.9,0.4,0.0,1.2,1.4,7.1
3 seasons,,MIN,NBA,,194,14,21.7,3.8,9.4,.402,1.1,3.4,.341,2.6,6.1,.436,1.3,1.7,.783,0.3,2.1,2.4,4.3,0.4,0.0,1.9,1.7,10.1
