
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,ORL,NBA,SF,73,36,24.5,2.5,6.2,.403,0.9,2.6,.358,1.6,3.7,.434,0.9,1.4,.631,1.5,2.9,4.3,1.3,0.6,0.1,1.0,1.8,6.8
2004-05,24,CHA,NBA,SG,74,42,24.2,3.5,9.3,.381,0.8,2.3,.329,2.8,7.0,.398,1.8,2.5,.727,1.0,2.0,3.1,1.8,0.9,0.1,1.6,2.3,9.6
2005-06,25,TOT,NBA,SG-SF,72,31,26.6,3.0,7.6,.395,0.9,2.8,.325,2.1,4.8,.436,1.8,2.6,.683,0.8,2.8,3.5,1.8,1.0,0.1,1.3,2.3,8.6
2005-06,25,CHA,NBA,SG,39,9,21.7,2.9,7.4,.396,0.8,2.5,.337,2.1,4.9,.426,2.1,2.7,.762,0.7,2.0,2.7,1.2,1.0,0.1,1.1,2.0,8.7
2005-06,25,HOU,NBA,SF,33,22,32.2,3.1,7.8,.395,1.0,3.1,.314,2.1,4.7,.448,1.4,2.5,.580,0.8,3.7,4.5,2.5,1.0,0.2,1.5,2.7,8.5
2006-07,26,ORL,NBA,SG,59,18,16.8,1.7,4.2,.404,0.9,2.3,.387,0.8,1.8,.426,0.8,1.1,.746,0.3,1.3,1.6,1.0,0.5,0.0,0.8,1.7,5.1
2007-08,27,ORL,NBA,SG,82,35,26.8,2.9,7.2,.410,1.8,5.0,.362,1.1,2.2,.520,1.0,1.3,.736,0.5,2.7,3.2,1.3,0.7,0.1,0.6,2.0,8.7
2008-09,28,TOT,NBA,SG,65,15,19.6,1.8,5.0,.367,1.1,3.4,.339,0.7,1.6,.425,0.8,0.9,.912,0.5,2.6,3.1,1.0,0.7,0.1,0.6,1.6,5.6
2008-09,28,ORL,NBA,SG,36,15,21.9,1.8,4.9,.360,1.2,3.5,.333,0.6,1.4,.429,0.6,0.7,.875,0.4,2.7,3.1,0.9,0.6,0.1,0.5,1.7,5.3
2008-09,28,MIL,NBA,SG,29,0,16.7,1.9,5.1,.376,1.1,3.2,.348,0.8,2.0,.421,1.1,1.1,.939,0.6,2.6,3.1,1.1,0.7,0.1,0.8,1.5,6.0
2009-10,29,SAS,NBA,SF,79,50,19.7,1.5,3.8,.403,0.9,2.5,.357,0.6,1.3,.490,0.5,0.6,.740,0.3,1.9,2.2,1.2,0.6,0.2,0.7,2.0,4.4
2010-11,30,CHI,NBA,SG,82,82,17.8,1.5,3.7,.404,1.1,2.9,.380,0.4,0.9,.486,0.3,0.4,.656,0.2,1.6,1.8,1.2,0.5,0.1,0.5,1.4,4.4
2011-12,31,NJN,NBA,SF,5,1,18.8,1.6,4.2,.381,0.6,2.4,.250,1.0,1.8,.556,0.4,1.0,.400,1.0,1.2,2.2,0.6,0.4,0.0,0.6,3.0,4.2
2012-13,32,BRK,NBA,SG,74,23,19.0,1.5,3.8,.380,1.1,3.3,.343,0.3,0.5,.615,0.1,0.2,.647,0.2,1.4,1.6,1.0,0.4,0.1,0.7,1.5,4.2
2013-14,33,BOS,NBA,SG,6,0,9.2,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,0.5,0.5,1.000,0.0,0.5,0.5,0.5,0.2,0.0,0.2,0.3,2.0
Career,,,NBA,,671,333,21.6,2.2,5.6,.394,1.1,3.0,.353,1.1,2.6,.442,0.9,1.2,.716,0.6,2.1,2.7,1.3,0.6,0.1,0.9,1.8,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ORL,NBA,,250,104,23.0,2.3,5.8,.401,1.2,3.4,.361,1.1,2.4,.458,0.9,1.2,.713,0.7,2.4,3.1,1.2,0.6,0.1,0.8,1.8,6.8
2 seasons,,CHA,NBA,,113,51,23.4,3.3,8.6,.385,0.8,2.4,.332,2.5,6.2,.406,1.9,2.5,.740,0.9,2.0,2.9,1.6,0.9,0.1,1.4,2.2,9.3
1 season,,CHI,NBA,,82,82,17.8,1.5,3.7,.404,1.1,2.9,.380,0.4,0.9,.486,0.3,0.4,.656,0.2,1.6,1.8,1.2,0.5,0.1,0.5,1.4,4.4
2 seasons,,NJNBRK,NBA,,79,24,19.0,1.5,3.9,.380,1.1,3.3,.339,0.4,0.6,.604,0.2,0.3,.591,0.3,1.4,1.7,1.0,0.4,0.1,0.7,1.6,4.2
1 season,,SAS,NBA,,79,50,19.7,1.5,3.8,.403,0.9,2.5,.357,0.6,1.3,.490,0.5,0.6,.740,0.3,1.9,2.2,1.2,0.6,0.2,0.7,2.0,4.4
1 season,,HOU,NBA,,33,22,32.2,3.1,7.8,.395,1.0,3.1,.314,2.1,4.7,.448,1.4,2.5,.580,0.8,3.7,4.5,2.5,1.0,0.2,1.5,2.7,8.5
1 season,,MIL,NBA,,29,0,16.7,1.9,5.1,.376,1.1,3.2,.348,0.8,2.0,.421,1.1,1.1,.939,0.6,2.6,3.1,1.1,0.7,0.1,0.8,1.5,6.0
1 season,,BOS,NBA,,6,0,9.2,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,0.5,0.5,1.000,0.0,0.5,0.5,0.5,0.2,0.0,0.2,0.3,2.0
