
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,SAC,NBA,PG,45,0,455,45,117,.385,5,25,.200,40,92,.435,36,55,.655,29,29,58,22,16,3,24,35,131
2005-06,22,SAC,NBA,SG,72,41,1913,262,546,.480,66,179,.369,196,367,.534,188,222,.847,58,203,261,97,55,9,81,138,778
2006-07,23,SAC,NBA,SG,80,80,2818,505,1067,.473,127,333,.381,378,734,.515,481,570,.844,69,273,342,173,98,11,135,181,1618
2007-08,24,SAC,NBA,SG,61,57,2216,417,914,.456,107,266,.402,310,648,.478,502,578,.869,48,225,273,129,62,5,131,150,1443
2008-09,25,SAC,NBA,SG,51,46,1947,341,811,.420,115,277,.415,226,534,.423,457,527,.867,29,154,183,138,61,8,146,116,1254
2009-10,26,TOT,NBA,SG,46,43,1633,289,693,.417,70,210,.333,219,483,.453,298,340,.876,29,135,164,111,46,6,92,96,946
2009-10,26,SAC,NBA,SG,22,21,774,135,339,.398,39,110,.355,96,229,.419,127,155,.819,20,74,94,57,23,4,35,51,436
2009-10,26,HOU,NBA,SG,24,22,859,154,354,.435,31,100,.310,123,254,.484,171,185,.924,9,61,70,54,23,2,57,45,510
2010-11,27,HOU,NBA,SG,80,80,2603,553,1267,.436,176,459,.383,377,808,.467,594,669,.888,28,230,258,198,80,15,184,155,1876
2011-12,28,HOU,NBA,SG,40,40,1264,222,537,.413,78,225,.347,144,312,.462,160,179,.894,13,93,106,110,28,3,70,70,682
2012-13,29,OKC,NBA,SG,77,0,2136,350,778,.450,158,371,.426,192,407,.472,219,246,.890,31,147,178,106,72,8,101,138,1077
2013-14,30,MIN,NBA,SG,68,68,2177,440,1023,.430,115,297,.387,325,726,.448,303,340,.891,34,169,203,121,66,6,106,123,1298
Career,,,NBA,,620,455,19162,3424,7753,.442,1017,2642,.385,2407,5111,.471,3238,3726,.869,368,1658,2026,1205,584,74,1070,1202,11103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,SAC,NBA,,331,245,10123,1705,3794,.449,459,1190,.386,1246,2604,.478,1791,2107,.850,253,958,1211,616,315,40,552,671,5660
3 seasons,,HOU,NBA,,144,142,4726,929,2158,.430,285,784,.364,644,1374,.469,925,1033,.895,50,384,434,362,131,20,311,270,3068
1 season,,OKC,NBA,,77,0,2136,350,778,.450,158,371,.426,192,407,.472,219,246,.890,31,147,178,106,72,8,101,138,1077
1 season,,MIN,NBA,,68,68,2177,440,1023,.430,115,297,.387,325,726,.448,303,340,.891,34,169,203,121,66,6,106,123,1298
