
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,CHI,NBA,PG,76,66,35.6,4.2,10.8,.386,1.9,4.9,.390,2.3,6.0,.383,1.8,2.2,.804,0.6,2.9,3.4,6.8,1.3,0.3,2.7,3.6,12.0
2004-05,24,CHI,NBA,PG,77,77,36.4,5.8,14.6,.397,1.9,5.3,.355,3.9,9.3,.420,2.2,2.8,.792,0.4,3.5,3.9,6.4,1.6,0.3,2.3,3.2,15.7
2005-06,25,CHI,NBA,PG,81,81,36.5,5.6,13.3,.418,1.6,4.2,.370,4.0,9.1,.441,3.2,3.9,.815,0.4,3.2,3.6,6.3,1.2,0.3,2.3,3.1,15.9
2006-07,26,CHI,NBA,PG,80,80,35.5,5.9,13.3,.448,1.8,4.2,.415,4.2,9.1,.463,3.0,3.6,.835,0.4,3.0,3.4,6.3,1.3,0.3,2.4,3.4,16.6
2007-08,27,CHI,NBA,PG,75,72,31.7,4.4,10.6,.414,1.1,3.2,.350,3.3,7.4,.442,1.6,1.9,.831,0.4,2.9,3.3,6.0,1.2,0.3,2.1,3.0,11.5
2008-09,28,CHI,NBA,SG,51,4,26.3,3.6,8.2,.437,1.4,3.3,.408,2.2,4.9,.456,1.3,1.7,.791,0.3,2.1,2.4,3.9,1.3,0.4,1.7,2.5,9.9
2009-10,29,CHI,NBA,SG,74,53,33.5,4.2,10.2,.409,1.4,3.8,.371,2.8,6.4,.431,1.1,1.5,.752,0.3,3.2,3.5,4.5,1.1,0.3,1.5,2.8,10.9
2010-11,30,TOT,NBA,SG-PG,72,51,30.0,3.9,8.7,.446,1.0,2.6,.399,2.8,6.0,.467,1.5,1.8,.841,0.3,2.2,2.5,4.0,1.0,0.2,1.7,2.6,10.2
2010-11,30,WAS,NBA,SG,48,29,30.6,4.1,9.1,.452,0.9,2.3,.384,3.2,6.8,.475,1.9,2.2,.876,0.3,2.4,2.7,4.4,1.2,0.2,1.8,2.5,11.1
2010-11,30,ATL,NBA,PG,24,22,28.6,3.3,7.7,.432,1.3,3.2,.421,2.0,4.5,.440,0.6,0.9,.667,0.3,1.9,2.2,3.3,0.8,0.3,1.5,2.8,8.6
2011-12,31,ATL,NBA,SG,48,31,25.8,2.5,6.1,.414,1.0,2.8,.346,1.6,3.3,.472,0.5,0.7,.781,0.2,1.9,2.1,2.8,0.8,0.2,1.2,2.1,6.6
2012-13,32,CHI,NBA,PG,60,60,29.4,2.7,7.0,.377,1.2,3.0,.390,1.5,4.0,.367,1.2,1.6,.714,0.3,2.4,2.6,5.2,1.1,0.4,1.7,3.2,7.7
2013-14,33,CHI,NBA,PG,73,61,29.0,3.3,8.5,.393,1.2,3.3,.351,2.2,5.2,.419,1.3,1.7,.760,0.4,2.2,2.6,3.9,1.1,0.4,1.6,2.8,9.1
Career,,,NBA,,767,636,32.3,4.3,10.4,.413,1.4,3.8,.377,2.9,6.7,.434,1.8,2.2,.802,0.4,2.7,3.1,5.2,1.2,0.3,2.0,3.0,11.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,CHI,NBA,,647,554,33.0,4.5,11.0,.410,1.5,4.0,.377,3.0,7.0,.430,1.9,2.4,.799,0.4,2.9,3.2,5.6,1.2,0.3,2.1,3.1,12.4
2 seasons,,ATL,NBA,,72,53,26.7,2.8,6.7,.421,1.1,2.9,.373,1.7,3.7,.459,0.5,0.7,.736,0.3,1.9,2.1,2.9,0.8,0.3,1.3,2.3,7.3
1 season,,WAS,NBA,,48,29,30.6,4.1,9.1,.452,0.9,2.3,.384,3.2,6.8,.475,1.9,2.2,.876,0.3,2.4,2.7,4.4,1.2,0.2,1.8,2.5,11.1
