
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,19,UTA,NBA,PF,67,4,13.0,1.7,4.3,.404,0.0,0.1,.333,1.7,4.2,.406,0.7,1.5,.436,1.1,1.9,2.9,0.6,0.4,0.3,0.8,1.4,4.1
2005-06,20,UTA,NBA,PF,62,2,10.0,1.2,3.3,.379,0.0,0.1,.000,1.2,3.2,.389,0.5,1.0,.523,0.9,1.6,2.5,0.5,0.4,0.3,0.5,1.3,3.0
2006-07,21,TOR,NBA,PF,60,2,11.2,1.5,3.1,.470,0.0,0.0,,1.5,3.1,.470,0.9,1.3,.671,1.3,1.8,3.1,0.3,0.2,0.4,0.5,1.6,3.8
2007-08,22,TOR,NBA,PF,70,0,13.2,2.3,4.8,.483,0.0,0.0,.000,2.3,4.7,.486,1.1,1.8,.605,1.3,2.4,3.7,0.4,0.4,0.4,0.7,1.5,5.7
2008-09,23,TOR,NBA,SF,29,0,9.1,1.3,3.1,.422,0.0,0.0,,1.3,3.1,.422,1.3,1.7,.792,0.8,1.6,2.4,0.3,0.3,0.2,0.3,1.1,3.9
2009-10,24,TOT,NBA,PF,69,0,17.7,2.6,5.9,.441,0.0,0.0,.000,2.6,5.9,.442,1.8,2.8,.668,1.7,3.7,5.5,0.5,0.5,0.7,1.0,2.1,7.1
2009-10,24,DAL,NBA,PF,25,0,12.6,2.1,4.6,.461,0.0,0.0,,2.1,4.6,.461,1.0,1.8,.568,1.5,2.3,3.8,0.3,0.3,0.4,0.5,1.7,5.2
2009-10,24,NJN,NBA,PF,44,0,20.6,2.9,6.7,.433,0.0,0.0,.000,2.9,6.6,.435,2.3,3.3,.699,1.9,4.6,6.4,0.6,0.7,0.8,1.2,2.3,8.1
2010-11,25,NJN,NBA,PF,74,44,27.9,4.1,7.9,.527,0.0,0.0,.000,4.1,7.9,.527,1.7,2.6,.665,3.0,7.4,10.4,1.1,0.4,1.1,1.4,2.3,10.0
2011-12,26,NJN,NBA,PF,62,62,34.9,5.2,10.8,.481,0.0,0.0,,5.2,10.8,.481,3.4,4.5,.752,3.8,7.2,11.0,1.5,0.8,1.2,1.9,2.8,13.8
2012-13,27,BRK,NBA,PF,65,21,18.3,2.1,4.8,.448,0.0,0.0,.000,2.1,4.7,.451,1.5,1.9,.789,1.9,3.7,5.6,0.5,0.2,0.5,0.9,2.0,5.8
2013-14,28,BOS,NBA,PF,69,30,19.9,3.3,6.7,.501,0.0,0.0,.000,3.3,6.7,.503,1.7,2.1,.813,1.8,4.1,5.9,1.0,0.4,0.9,0.9,2.0,8.4
Career,,,NBA,,627,165,18.1,2.6,5.6,.470,0.0,0.0,.105,2.6,5.6,.472,1.5,2.1,.686,1.8,3.7,5.5,0.7,0.4,0.6,0.9,1.9,6.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NJNBRK,NBA,,245,127,25.8,3.7,7.6,.482,0.0,0.0,.000,3.7,7.6,.484,2.2,3.0,.725,2.7,5.9,8.6,0.9,0.5,0.9,1.4,2.3,9.5
3 seasons,,TOR,NBA,,159,2,11.7,1.8,3.8,.470,0.0,0.0,.000,1.8,3.8,.472,1.0,1.6,.661,1.2,2.0,3.2,0.4,0.3,0.3,0.5,1.5,4.6
2 seasons,,UTA,NBA,,129,6,11.6,1.5,3.8,.394,0.0,0.1,.182,1.5,3.7,.399,0.6,1.3,.470,1.0,1.7,2.7,0.6,0.4,0.3,0.6,1.4,3.6
1 season,,BOS,NBA,,69,30,19.9,3.3,6.7,.501,0.0,0.0,.000,3.3,6.7,.503,1.7,2.1,.813,1.8,4.1,5.9,1.0,0.4,0.9,0.9,2.0,8.4
1 season,,DAL,NBA,,25,0,12.6,2.1,4.6,.461,0.0,0.0,,2.1,4.6,.461,1.0,1.8,.568,1.5,2.3,3.8,0.3,0.3,0.4,0.5,1.7,5.2
