
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,PHI,NBA,SF,74,0,11.9,1.6,4.4,.352,1.1,2.8,.391,0.5,1.6,.283,0.3,0.3,.792,0.4,1.1,1.5,0.5,0.3,0.1,0.6,1.4,4.5
2004-05,23,PHI,NBA,SF,82,57,32.5,3.9,9.3,.418,2.8,6.8,.405,1.1,2.5,.453,1.0,1.2,.854,0.5,4.1,4.6,2.2,1.3,0.4,1.3,3.2,11.5
2005-06,24,PHI,NBA,SF,82,43,31.3,4.0,9.3,.430,2.2,5.3,.420,1.7,3.9,.443,1.2,1.5,.849,0.3,3.0,3.3,2.0,0.8,0.3,1.2,2.7,11.5
2006-07,25,PHI,NBA,SF,74,1,30.9,5.0,11.4,.440,1.8,4.1,.430,3.2,7.3,.446,2.6,2.8,.914,0.4,3.1,3.5,1.4,0.8,0.3,1.6,2.5,14.4
2007-08,26,TOT,NBA,SG-PF,75,0,23.1,3.4,7.7,.443,1.5,3.9,.375,1.9,3.7,.516,1.6,1.7,.915,0.3,2.0,2.3,1.3,0.6,0.4,1.0,2.6,9.9
2007-08,26,PHI,NBA,PF,25,0,26.3,3.6,9.1,.396,1.5,4.3,.352,2.1,4.8,.437,1.2,1.4,.912,0.5,2.4,2.9,1.3,0.8,0.2,1.1,2.7,10.0
2007-08,26,UTA,NBA,SG,50,0,21.5,3.3,7.0,.474,1.5,3.8,.388,1.8,3.2,.575,1.8,1.9,.917,0.2,1.8,2.0,1.4,0.4,0.5,0.9,2.5,9.8
2008-09,27,UTA,NBA,SF,78,2,24.0,3.1,7.2,.438,1.3,3.4,.386,1.8,3.8,.485,1.4,1.6,.882,0.4,2.9,3.3,1.8,0.6,0.4,1.2,2.2,9.0
2009-10,28,UTA,NBA,SG,52,0,18.3,2.7,5.4,.493,1.1,2.1,.536,1.5,3.3,.465,0.8,0.9,.796,0.2,1.9,2.1,1.7,0.5,0.2,0.8,1.5,7.2
2010-11,29,CHI,NBA,SG,82,0,20.1,3.0,6.8,.434,1.5,3.5,.415,1.5,3.3,.455,0.9,1.1,.885,0.1,1.7,1.8,1.5,0.4,0.2,0.7,1.9,8.3
2011-12,30,CHI,NBA,SG,65,7,22.6,2.7,6.3,.432,1.8,4.2,.435,0.9,2.2,.426,0.8,1.0,.833,0.4,2.0,2.4,1.7,0.6,0.2,0.8,1.7,8.1
2012-13,31,ATL,NBA,SF,74,60,30.5,3.7,8.1,.461,2.6,5.6,.457,1.2,2.5,.471,0.9,1.1,.859,0.3,3.6,4.0,2.0,0.9,0.5,0.9,2.3,10.9
2013-14,32,ATL,NBA,SG,71,71,33.9,4.1,8.6,.475,2.6,5.5,.472,1.5,3.1,.479,1.2,1.3,.926,0.3,3.7,4.0,2.9,1.0,0.3,1.4,2.1,12.0
Career,,,NBA,,809,241,25.6,3.4,7.8,.438,1.9,4.4,.425,1.5,3.4,.456,1.2,1.3,.880,0.3,2.7,3.0,1.7,0.7,0.3,1.1,2.2,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHI,NBA,,337,101,26.9,3.6,8.7,.418,2.0,4.8,.409,1.7,3.9,.430,1.3,1.4,.880,0.4,2.8,3.2,1.6,0.8,0.3,1.2,2.5,10.5
3 seasons,,UTA,NBA,,180,2,21.7,3.0,6.6,.461,1.3,3.1,.416,1.7,3.5,.502,1.3,1.5,.879,0.3,2.3,2.6,1.6,0.5,0.4,1.0,2.1,8.7
2 seasons,,CHI,NBA,,147,7,21.2,2.9,6.6,.433,1.6,3.8,.425,1.2,2.8,.445,0.9,1.0,.863,0.3,1.8,2.1,1.6,0.5,0.2,0.8,1.8,8.2
2 seasons,,ATL,NBA,,145,131,32.2,3.9,8.3,.468,2.6,5.6,.464,1.3,2.8,.475,1.1,1.2,.895,0.3,3.7,4.0,2.4,1.0,0.4,1.2,2.2,11.4
