
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,SEA,NBA,PG,69,6,16.1,2.1,5.1,.414,0.4,1.2,.338,1.7,3.9,.437,0.9,1.1,.823,0.5,1.1,1.6,2.4,0.8,0.1,1.2,1.5,5.5
2004-05,23,SEA,NBA,PG,82,82,31.4,3.6,9.0,.405,0.8,2.2,.376,2.8,6.8,.414,1.9,2.2,.883,0.7,1.8,2.5,5.9,1.1,0.3,1.8,2.3,10.0
2005-06,24,SEA,NBA,PG,79,77,33.2,4.2,10.1,.418,0.5,1.9,.289,3.7,8.2,.448,2.5,2.9,.877,0.6,2.4,3.0,7.0,1.6,0.3,2.1,2.3,11.5
2006-07,25,SEA,NBA,PG,71,58,29.5,4.2,9.8,.433,0.7,2.0,.353,3.5,7.8,.453,1.8,2.2,.805,0.4,1.9,2.3,5.2,1.2,0.3,2.2,2.5,11.0
2007-08,26,SEA,NBA,PG,61,5,20.0,2.4,6.0,.399,0.3,1.2,.296,2.1,4.9,.424,1.3,1.5,.857,0.2,1.3,1.5,4.0,0.6,0.2,1.3,2.0,6.4
2008-09,27,MIL,NBA,PG,72,50,28.2,3.5,8.6,.403,0.8,2.2,.350,2.7,6.4,.420,1.8,2.1,.869,0.5,2.6,3.0,5.1,1.3,0.2,1.8,2.8,9.6
2009-10,28,MIL,NBA,PG,82,0,21.5,4.0,8.4,.478,0.8,2.2,.381,3.2,6.2,.513,1.5,1.7,.907,0.3,1.5,1.7,4.0,0.7,0.1,1.3,2.2,10.4
2010-11,29,MIN,NBA,PG,71,66,30.4,4.5,9.6,.468,1.1,2.6,.440,3.4,7.0,.479,1.7,1.9,.883,0.5,2.3,2.8,5.4,1.3,0.1,2.2,2.1,11.8
2011-12,30,MIN,NBA,SG,53,53,33.0,4.6,10.4,.440,0.9,2.9,.322,3.6,7.5,.485,2.0,2.2,.891,0.4,2.3,2.7,4.8,1.1,0.3,1.8,2.6,12.1
2012-13,31,MIN,NBA,SG,82,82,30.2,4.5,9.9,.453,0.8,2.6,.311,3.7,7.3,.503,1.7,2.0,.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,2.3,11.5
2013-14,32,TOT,NBA,PG,61,14,18.7,2.1,5.4,.385,0.6,1.8,.343,1.5,3.6,.406,0.3,0.4,.654,0.4,1.2,1.6,2.9,0.5,0.1,1.1,1.5,5.0
2013-14,32,MIL,NBA,PG,36,12,21.2,2.3,6.1,.384,0.7,1.9,.368,1.6,4.2,.391,0.4,0.5,.684,0.4,1.3,1.7,3.4,0.6,0.1,1.3,1.5,5.7
2013-14,32,CHA,NBA,PG,25,2,15.1,1.7,4.3,.389,0.5,1.6,.300,1.2,2.7,.441,0.2,0.3,.571,0.3,1.1,1.4,2.2,0.4,0.2,0.8,1.5,4.0
Career,,,NBA,,783,493,26.7,3.7,8.5,.431,0.7,2.1,.350,2.9,6.4,.457,1.6,1.9,.862,0.5,1.9,2.3,4.6,1.0,0.2,1.7,2.2,9.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SEA,NBA,,362,228,26.6,3.4,8.2,.415,0.6,1.7,.335,2.8,6.4,.437,1.7,2.0,.855,0.5,1.7,2.2,5.0,1.1,0.2,1.7,2.1,9.1
3 seasons,,MIN,NBA,,206,201,31.0,4.5,9.9,.454,1.0,2.7,.358,3.6,7.3,.490,1.8,2.0,.871,0.5,2.2,2.7,4.6,1.1,0.2,1.9,2.3,11.7
3 seasons,,MIL,NBA,,190,62,24.0,3.5,8.0,.434,0.8,2.1,.367,2.7,5.9,.458,1.4,1.6,.875,0.4,1.8,2.2,4.3,0.9,0.1,1.5,2.3,9.2
1 season,,CHA,NBA,,25,2,15.1,1.7,4.3,.389,0.5,1.6,.300,1.2,2.7,.441,0.2,0.3,.571,0.3,1.1,1.4,2.2,0.4,0.2,0.8,1.5,4.0
