
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,GSW,NBA,PG,33,0,7.3,1.1,2.8,.387,0.5,1.2,.390,0.6,1.6,.385,0.2,0.3,.778,0.1,0.3,0.4,0.5,0.2,0.0,0.4,0.5,2.9
2008-09,22,GSW,NBA,SG,42,23,21.0,3.3,7.5,.442,1.2,3.1,.397,2.1,4.4,.473,1.0,1.2,.769,0.2,1.5,1.7,2.1,0.9,0.0,1.4,1.7,8.9
2009-10,23,TOR,NBA,SG,66,1,17.0,2.3,5.7,.406,0.9,2.4,.380,1.4,3.3,.425,1.5,1.8,.835,0.2,1.2,1.4,1.3,0.6,0.1,0.9,1.2,7.1
2010-11,24,NOH,NBA,SG,80,69,24.5,3.8,8.6,.437,1.7,4.1,.414,2.1,4.6,.458,1.2,1.6,.784,0.2,1.7,1.9,1.2,0.5,0.1,1.0,1.8,10.5
2011-12,25,NOH,NBA,SG,66,55,29.8,4.3,10.4,.417,1.6,4.3,.377,2.7,6.1,.445,1.5,2.0,.783,0.3,2.3,2.6,1.5,0.7,0.1,1.0,1.7,11.8
2012-13,26,CHI,NBA,SG,73,27,25.8,3.3,8.4,.395,1.1,3.0,.357,2.2,5.3,.416,1.9,2.3,.839,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6
2013-14,27,SAS,NBA,SF,80,25,25.2,4.2,8.7,.485,1.6,3.7,.430,2.6,5.0,.525,1.4,1.6,.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4
Career,,,NBA,,440,200,22.9,3.4,7.9,.431,1.3,3.3,.395,2.1,4.6,.457,1.4,1.7,.815,0.2,1.8,2.0,1.6,0.6,0.1,1.0,1.6,9.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,146,124,26.9,4.0,9.4,.427,1.7,4.2,.396,2.4,5.3,.451,1.4,1.7,.783,0.2,2.0,2.2,1.3,0.6,0.1,1.0,1.8,11.1
1 season,,SAS,NBA,,80,25,25.2,4.2,8.7,.485,1.6,3.7,.430,2.6,5.0,.525,1.4,1.6,.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4
2 seasons,,GSW,NBA,,75,23,15.0,2.3,5.5,.429,0.9,2.3,.395,1.4,3.2,.454,0.6,0.8,.770,0.2,1.0,1.1,1.4,0.5,0.0,0.9,1.2,6.2
1 season,,CHI,NBA,,73,27,25.8,3.3,8.4,.395,1.1,3.0,.357,2.2,5.3,.416,1.9,2.3,.839,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6
1 season,,TOR,NBA,,66,1,17.0,2.3,5.7,.406,0.9,2.4,.380,1.4,3.3,.425,1.5,1.8,.835,0.2,1.2,1.4,1.3,0.6,0.1,0.9,1.2,7.1
