
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,PHI,NBA,C,79,2,16.0,3.2,6.4,.502,0.0,0.1,.250,3.2,6.3,.506,1.3,1.7,.773,1.6,2.2,3.7,0.4,0.3,0.7,0.6,2.3,7.7
2009-10,22,PHI,NBA,C,62,1,16.4,3.4,7.2,.477,0.0,0.1,.000,3.4,7.1,.483,1.7,2.3,.745,1.4,2.7,4.1,0.6,0.5,0.5,0.8,2.5,8.6
2010-11,23,PHI,NBA,C,64,1,11.5,2.3,4.5,.495,0.0,0.1,.250,2.2,4.5,.498,0.9,1.1,.753,1.0,2.3,3.3,0.5,0.1,0.3,0.6,1.9,5.4
2011-12,24,MEM,NBA,PF,60,54,22.4,3.7,8.1,.453,0.0,0.1,.000,3.7,8.1,.456,1.4,1.8,.771,2.2,4.0,6.2,0.8,0.4,0.5,1.2,2.5,8.8
2012-13,25,TOT,NBA,C,79,3,16.5,3.3,7.4,.445,0.0,0.1,.300,3.3,7.3,.448,1.7,2.2,.771,1.8,3.0,4.9,0.6,0.3,0.7,1.0,2.2,8.3
2012-13,25,MEM,NBA,C,40,2,14.5,2.7,6.2,.429,0.1,0.1,.400,2.6,6.1,.430,1.2,1.7,.716,1.9,2.8,4.7,0.5,0.3,0.7,0.9,2.2,6.6
2012-13,25,CLE,NBA,C,39,1,18.5,3.9,8.6,.457,0.0,0.1,.200,3.9,8.5,.461,2.2,2.8,.806,1.8,3.3,5.1,0.7,0.4,0.7,1.2,2.3,10.2
2013-14,26,GSW,NBA,C,79,3,12.4,2.5,5.6,.441,0.1,0.4,.258,2.4,5.2,.455,1.4,1.7,.821,1.3,2.4,3.7,0.4,0.1,0.4,0.8,1.9,6.4
Career,,,NBA,,423,64,15.7,3.0,6.5,.467,0.0,0.1,.230,3.0,6.4,.472,1.4,1.8,.773,1.5,2.7,4.3,0.5,0.3,0.5,0.8,2.2,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,205,4,14.7,3.0,6.0,.492,0.0,0.1,.176,3.0,6.0,.496,1.3,1.7,.757,1.3,2.4,3.7,0.5,0.3,0.5,0.7,2.2,7.2
2 seasons,,MEM,NBA,,100,56,19.2,3.3,7.4,.445,0.0,0.1,.250,3.3,7.3,.447,1.3,1.8,.750,2.1,3.5,5.6,0.7,0.3,0.6,1.1,2.3,7.9
1 season,,GSW,NBA,,79,3,12.4,2.5,5.6,.441,0.1,0.4,.258,2.4,5.2,.455,1.4,1.7,.821,1.3,2.4,3.7,0.4,0.1,0.4,0.8,1.9,6.4
1 season,,CLE,NBA,,39,1,18.5,3.9,8.6,.457,0.0,0.1,.200,3.9,8.5,.461,2.2,2.8,.806,1.8,3.3,5.1,0.7,0.4,0.7,1.2,2.3,10.2
