
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,19,POR,NBA,SG,61,18,17.5,2.3,5.7,.399,1.1,3.0,.357,1.2,2.7,.446,1.0,1.2,.859,0.5,1.7,2.1,0.6,0.3,0.2,0.7,1.5,6.6
2006-07,20,POR,NBA,SF,82,27,21.5,2.4,6.0,.396,1.1,3.0,.364,1.3,3.0,.430,1.1,1.6,.705,0.5,2.4,2.9,0.6,0.4,0.2,0.9,1.5,7.0
2007-08,21,POR,NBA,SF,75,70,28.4,3.7,8.7,.422,1.6,4.2,.388,2.1,4.5,.454,1.6,2.2,.735,0.7,3.2,3.9,1.2,0.6,0.4,1.1,2.1,10.7
2008-09,22,POR,NBA,SF,1,0,5.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10,23,POR,NBA,SF,82,49,24.5,3.2,7.8,.405,1.5,4.0,.373,1.6,3.7,.440,1.5,1.9,.813,0.6,2.7,3.3,0.8,0.5,0.5,0.7,1.9,9.4
2010-11,24,MIN,NBA,SG,46,1,23.8,3.3,7.4,.447,1.2,2.9,.417,2.1,4.5,.466,2.0,2.7,.770,0.8,2.4,3.2,1.2,0.6,0.2,1.3,2.2,9.8
2011-12,25,MIN,NBA,SG,47,26,24.3,2.4,5.8,.423,0.8,2.3,.339,1.7,3.5,.479,1.2,1.5,.792,0.9,2.7,3.6,0.9,0.7,0.4,1.0,1.8,6.9
2012-13,26,WAS,NBA,SF,76,62,28.9,3.7,8.4,.442,1.8,4.3,.422,1.9,4.0,.463,2.2,2.6,.848,0.7,3.2,3.9,1.9,0.6,0.2,1.2,2.2,11.4
2013-14,27,WAS,NBA,SF,78,13,27.7,3.3,7.5,.433,1.9,4.8,.392,1.4,2.8,.502,1.3,1.6,.840,0.5,2.4,2.8,1.2,0.5,0.2,0.7,1.9,9.7
Career,,,NBA,,548,266,24.7,3.1,7.2,.421,1.4,3.7,.385,1.6,3.6,.458,1.5,1.9,.793,0.6,2.6,3.2,1.0,0.5,0.3,0.9,1.9,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,POR,NBA,,301,164,23.2,2.9,7.1,.407,1.3,3.6,.372,1.6,3.5,.443,1.3,1.7,.767,0.6,2.5,3.1,0.8,0.5,0.3,0.9,1.8,8.5
2 seasons,,WAS,NBA,,154,75,28.3,3.5,7.9,.437,1.9,4.6,.407,1.6,3.4,.479,1.8,2.1,.845,0.6,2.8,3.4,1.6,0.6,0.2,1.0,2.1,10.6
2 seasons,,MIN,NBA,,93,27,24.0,2.9,6.6,.436,1.0,2.6,.382,1.9,4.0,.472,1.6,2.1,.778,0.8,2.5,3.4,1.0,0.6,0.3,1.1,2.0,8.4
