
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,19,ATL,NBA,PF,79,7,24.7,3.0,6.7,.443,0.2,0.7,.245,2.8,6.1,.464,2.4,3.2,.747,1.5,3.3,4.8,0.8,0.6,0.3,1.1,2.9,8.5
2006-07,20,ATL,NBA,PF,64,63,34.0,4.8,11.0,.433,0.2,0.7,.244,4.6,10.3,.446,3.4,4.1,.815,1.3,4.0,5.3,1.9,0.8,0.5,2.0,3.0,13.1
2007-08,21,ATL,NBA,SF,80,80,34.6,5.3,11.5,.462,0.0,0.1,.100,5.3,11.4,.466,4.2,5.1,.822,1.5,4.2,5.7,1.7,1.0,0.4,1.6,2.8,14.8
2008-09,22,ATL,NBA,SF,61,59,34.3,4.7,10.2,.458,0.9,2.5,.355,3.8,7.7,.493,3.6,4.5,.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,2.1,13.9
2009-10,23,ATL,NBA,SF,81,81,30.5,3.7,8.2,.455,0.5,1.6,.303,3.2,6.6,.492,2.2,2.7,.819,1.3,3.8,5.1,1.1,0.8,0.6,0.9,2.0,10.1
2010-11,24,ATL,NBA,SF,65,52,28.7,3.8,8.3,.458,0.6,1.7,.336,3.2,6.6,.489,2.3,2.7,.845,1.0,3.8,4.8,1.4,0.5,0.4,1.0,1.6,10.4
2011-12,25,ATL,NBA,SF,57,37,26.3,3.6,8.2,.432,1.0,2.6,.389,2.5,5.6,.452,2.0,2.6,.788,1.3,3.8,5.2,1.2,0.8,0.3,0.7,1.5,10.2
2012-13,26,UTA,NBA,SF,73,51,23.7,2.7,6.4,.423,0.7,2.3,.325,2.0,4.2,.477,1.1,1.4,.778,0.8,2.8,3.6,1.1,0.5,0.5,0.8,1.3,7.2
2013-14,27,UTA,NBA,PF,66,50,25.4,3.5,8.0,.439,1.3,3.5,.359,2.2,4.4,.503,0.9,1.1,.781,1.2,3.8,5.1,1.2,0.8,0.5,0.8,2.3,9.1
Career,,,NBA,,626,480,29.1,3.9,8.7,.447,0.6,1.7,.335,3.3,7.0,.473,2.4,3.0,.804,1.3,3.8,5.1,1.3,0.8,0.5,1.1,2.2,10.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,487,379,30.4,4.1,9.1,.450,0.4,1.3,.329,3.7,7.8,.471,2.9,3.6,.806,1.4,3.9,5.3,1.3,0.8,0.4,1.2,2.3,11.5
2 seasons,,UTA,NBA,,139,101,24.5,3.1,7.2,.432,1.0,2.9,.345,2.1,4.3,.490,1.0,1.2,.779,1.0,3.3,4.3,1.1,0.7,0.5,0.8,1.8,8.1
