
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,20,ORL,NBA,SF,82,62,29.1,4.5,10.3,.436,1.8,4.4,.407,2.7,5.9,.457,1.1,1.6,.711,0.8,3.2,4.0,1.7,0.6,0.2,1.2,2.4,11.9
2001-02,21,ORL,NBA,SF,63,53,33.7,5.6,12.7,.438,1.8,4.8,.383,3.7,7.9,.471,2.2,2.9,.762,0.8,3.6,4.3,3.1,0.7,0.4,1.7,2.3,15.2
2002-03,22,TOT,NBA,SF,65,52,33.6,5.7,13.2,.434,1.7,4.6,.363,4.1,8.6,.472,2.4,2.9,.839,0.7,4.5,5.2,2.6,0.6,0.3,1.9,2.7,15.6
2002-03,22,ORL,NBA,SF,49,39,37.3,6.0,14.4,.418,1.8,5.2,.340,4.3,9.2,.462,2.6,3.1,.847,0.8,5.0,5.8,2.8,0.7,0.3,2.0,2.8,16.4
2002-03,22,MEM,NBA,SF,16,13,22.5,4.8,9.4,.510,1.4,2.8,.500,3.4,6.7,.514,1.8,2.3,.806,0.4,3.1,3.4,1.9,0.4,0.3,1.6,2.1,12.8
2003-04,23,MEM,NBA,SF,65,65,27.2,4.2,9.5,.438,1.2,3.3,.372,2.9,6.2,.474,1.6,2.2,.723,0.6,2.7,3.3,3.6,0.9,0.2,1.6,2.5,11.1
2004-05,24,MEM,NBA,SF,76,51,30.0,5.1,10.1,.505,1.8,4.3,.433,3.3,5.8,.558,1.4,2.0,.720,0.5,3.5,3.9,2.9,0.7,0.3,1.7,2.6,13.4
2005-06,25,MEM,NBA,SG,74,9,30.6,4.8,10.3,.466,1.9,4.6,.407,2.9,5.7,.513,2.3,2.8,.800,0.6,4.8,5.4,2.7,0.7,0.4,1.9,2.3,13.7
2006-07,26,MEM,NBA,SG,70,69,39.1,6.6,14.4,.460,2.9,7.1,.406,3.8,7.3,.514,2.3,2.9,.793,0.7,4.7,5.4,4.3,0.8,0.3,2.6,2.0,18.5
2007-08,27,MEM,NBA,SG,70,70,35.3,5.9,11.8,.502,2.2,5.1,.432,3.7,6.6,.557,2.3,3.0,.774,0.7,5.9,6.7,3.4,0.5,0.2,2.6,2.1,16.4
2008-09,28,MIN,NBA,SF,73,47,32.3,3.6,7.5,.482,1.2,3.1,.378,2.5,4.4,.554,1.5,2.0,.732,1.0,5.6,6.6,4.5,0.4,0.4,2.0,1.9,9.9
2009-10,29,WAS,NBA,SG,54,50,33.4,4.0,8.0,.501,1.5,3.2,.480,2.5,4.9,.515,1.3,1.6,.824,1.0,5.2,6.2,3.9,0.7,0.2,2.1,2.4,10.9
2010-11,30,MIA,NBA,SG,41,2,20.4,2.0,4.9,.401,1.0,2.9,.364,0.9,2.0,.452,0.6,0.8,.676,0.9,3.6,4.5,1.2,0.5,0.0,1.0,2.1,5.6
2011-12,31,MIA,NBA,SG,39,2,19.3,2.3,5.4,.435,1.4,3.0,.453,1.0,2.4,.413,0.1,0.1,.400,0.6,2.7,3.3,1.1,0.4,0.2,0.8,1.5,6.1
2012-13,32,MIA,NBA,SF,59,17,15.3,1.7,3.9,.433,1.2,3.0,.417,0.5,0.9,.482,0.1,0.2,.727,0.3,2.4,2.7,1.7,0.4,0.1,0.6,1.1,4.8
2013-14,33,MEM,NBA,SF,82,4,20.8,2.6,5.4,.481,1.3,2.8,.459,1.3,2.6,.505,0.6,0.7,.821,0.4,2.2,2.5,1.6,0.3,0.1,0.9,1.2,7.1
Career,,,NBA,,913,553,29.1,4.3,9.4,.462,1.7,4.1,.409,2.6,5.3,.503,1.5,1.9,.769,0.7,3.9,4.6,2.8,0.6,0.2,1.7,2.1,11.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,453,281,30.0,4.8,10.1,.477,1.9,4.4,.420,2.9,5.6,.522,1.7,2.2,.772,0.6,3.9,4.5,3.0,0.6,0.2,1.8,2.1,13.2
3 seasons,,ORL,NBA,,194,154,32.7,5.2,12.1,.431,1.8,4.8,.380,3.4,7.4,.464,1.8,2.4,.776,0.8,3.8,4.6,2.5,0.7,0.3,1.6,2.5,14.1
3 seasons,,MIA,NBA,,139,21,17.9,2.0,4.6,.424,1.2,2.9,.412,0.7,1.7,.444,0.2,0.4,.660,0.6,2.8,3.4,1.4,0.4,0.1,0.8,1.5,5.4
1 season,,MIN,NBA,,73,47,32.3,3.6,7.5,.482,1.2,3.1,.378,2.5,4.4,.554,1.5,2.0,.732,1.0,5.6,6.6,4.5,0.4,0.4,2.0,1.9,9.9
1 season,,WAS,NBA,,54,50,33.4,4.0,8.0,.501,1.5,3.2,.480,2.5,4.9,.515,1.3,1.6,.824,1.0,5.2,6.2,3.9,0.7,0.2,2.1,2.4,10.9
