
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,21,PHI,NBA,C,26,0,4.7,0.6,1.6,.357,0.0,0.0,,0.6,1.6,.357,0.5,0.8,.571,0.7,0.7,1.4,0.1,0.2,0.2,0.5,0.8,1.6
1999-00,22,PHI,NBA,C,28,3,6.8,0.8,1.9,.389,0.0,0.0,,0.8,1.9,.389,0.4,0.8,.545,0.6,1.2,1.8,0.1,0.1,0.4,0.6,1.0,1.9
2000-01,23,TOT,NBA,C,58,22,15.7,3.0,6.4,.477,0.0,0.0,.000,3.0,6.3,.478,1.5,2.2,.706,2.0,3.3,5.3,0.3,0.5,0.6,1.1,1.9,7.6
2000-01,23,PHI,NBA,C,30,3,6.5,1.4,2.9,.466,0.0,0.0,,1.4,2.9,.466,0.5,0.9,.500,0.6,1.2,1.8,0.1,0.2,0.2,0.3,1.3,3.2
2000-01,23,ATL,NBA,C,28,19,25.6,4.8,10.0,.480,0.0,0.0,.000,4.8,10.0,.482,2.7,3.5,.765,3.5,5.5,9.0,0.6,0.8,1.0,2.0,2.6,12.3
2001-02,24,ATL,NBA,C,82,73,26.4,4.0,8.7,.461,0.0,0.0,.000,4.0,8.7,.462,1.7,2.7,.617,3.0,5.0,7.9,0.4,0.8,0.7,1.4,3.1,9.7
2002-03,25,ATL,NBA,C,35,0,12.7,1.9,4.5,.421,0.0,0.0,,1.9,4.5,.421,0.7,1.2,.634,1.3,2.3,3.7,0.2,0.5,0.6,0.7,2.3,4.6
2003-04,26,TOT,NBA,C,80,24,20.1,3.1,5.9,.521,0.0,0.0,,3.1,5.9,.521,1.3,2.1,.592,2.2,3.7,5.9,0.5,0.7,0.7,1.2,2.4,7.4
2003-04,26,ATL,NBA,C,53,1,17.7,2.6,5.3,.493,0.0,0.0,,2.6,5.3,.493,1.3,2.1,.627,1.9,3.1,5.0,0.4,0.4,0.5,1.0,2.1,6.5
2003-04,26,NYK,NBA,C,27,23,24.9,4.0,7.1,.563,0.0,0.0,,4.0,7.1,.563,1.1,2.2,.525,2.9,4.8,7.7,0.6,1.2,0.9,1.5,3.0,9.1
2004-05,27,TOT,NBA,C,77,59,25.1,3.8,7.8,.480,0.0,0.0,.000,3.8,7.8,.481,2.0,2.9,.674,3.2,4.4,7.6,0.4,0.8,1.1,1.4,3.1,9.5
2004-05,27,NYK,NBA,C,54,54,28.1,4.3,8.5,.509,0.0,0.0,.000,4.3,8.5,.510,2.2,3.2,.708,3.1,5.0,8.1,0.5,1.0,1.0,1.5,3.2,10.9
2004-05,27,SAS,NBA,C,23,5,18.0,2.4,6.2,.387,0.0,0.0,,2.4,6.2,.387,1.4,2.4,.571,3.4,3.0,6.4,0.3,0.2,1.4,1.2,2.8,6.2
2005-06,28,SAS,NBA,C,80,30,17.4,2.4,4.7,.504,0.0,0.0,,2.4,4.7,.504,1.4,1.8,.785,2.0,3.2,5.2,0.5,0.3,0.6,1.1,2.8,6.2
2006-07,29,DET,NBA,C,51,33,15.2,2.3,4.4,.532,0.0,0.0,,2.3,4.4,.532,1.0,1.6,.610,1.7,2.7,4.5,0.2,0.5,0.8,0.8,2.6,5.6
2007-08,30,TOT,NBA,PF-C,82,29,20.1,3.3,6.4,.515,0.0,0.0,.000,3.3,6.4,.516,1.2,2.0,.583,2.4,3.7,6.0,0.9,0.5,0.7,1.2,2.8,7.8
2007-08,30,DET,NBA,C,21,0,10.9,1.3,2.8,.475,0.0,0.0,.000,1.3,2.8,.483,0.6,1.4,.433,1.4,2.1,3.5,0.3,0.3,0.4,0.5,1.7,3.3
2007-08,30,CHA,NBA,PF,61,29,23.3,4.0,7.7,.520,0.0,0.0,,4.0,7.7,.520,1.3,2.2,.617,2.7,4.2,6.9,1.1,0.6,0.9,1.5,3.2,9.3
2008-09,31,CHA,NBA,C,39,1,8.7,1.1,2.6,.406,0.0,0.0,,1.1,2.6,.406,0.6,1.0,.550,0.9,1.1,2.0,0.2,0.1,0.4,0.6,1.6,2.7
2009-10,32,CHA,NBA,C,58,29,17.0,3.3,5.9,.553,0.0,0.0,,3.3,5.9,.553,1.4,2.2,.648,2.0,3.3,5.2,0.5,0.3,0.7,0.9,1.8,7.9
2010-11,33,TOT,NBA,C,75,37,17.1,3.1,6.0,.522,0.0,0.0,.000,3.1,6.0,.523,0.9,1.5,.598,1.9,3.0,4.9,0.3,0.4,0.7,0.9,2.5,7.1
2010-11,33,CHA,NBA,C,51,30,16.7,3.1,6.2,.502,0.0,0.0,.000,3.1,6.2,.503,1.0,1.7,.591,1.8,3.1,4.9,0.3,0.3,0.9,1.0,2.4,7.3
2010-11,33,OKC,NBA,C,24,7,17.9,3.1,5.5,.573,0.0,0.0,,3.1,5.5,.573,0.6,1.0,.625,1.9,2.9,4.8,0.3,0.7,0.4,0.8,2.6,6.9
2011-12,34,OKC,NBA,C,63,1,11.0,1.3,2.7,.467,0.0,0.0,.000,1.3,2.7,.470,0.2,0.4,.565,0.9,1.8,2.7,0.2,0.3,0.6,0.4,1.6,2.7
2012-13,35,CHI,NBA,C,63,12,11.0,1.0,2.9,.367,0.0,0.0,.000,1.0,2.8,.371,0.5,0.7,.723,1.2,1.9,3.1,0.4,0.3,0.5,0.4,1.5,2.6
2013-14,36,CHI,NBA,C,80,1,7.0,0.7,1.6,.429,0.0,0.0,,0.7,1.6,.429,0.2,0.4,.533,0.8,1.4,2.2,0.3,0.2,0.4,0.5,1.0,1.6
Career,,,NBA,,977,354,16.1,2.4,5.0,.487,0.0,0.0,.000,2.4,5.0,.487,1.0,1.6,.640,1.8,2.9,4.8,0.4,0.4,0.6,0.9,2.2,5.9
