
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,MEM,NBA,SG,82,82,38.0,6.9,15.6,.438,1.8,4.6,.384,5.1,11.0,.461,3.0,3.4,.879,0.7,3.1,3.8,3.2,1.1,0.2,2.8,2.5,18.5
2009-10,22,MEM,NBA,SG,82,82,38.0,6.6,14.4,.458,1.7,4.3,.383,5.0,10.1,.490,2.6,3.2,.809,0.7,3.0,3.8,3.0,1.2,0.2,2.1,2.1,17.5
2010-11,23,MEM,NBA,SG,71,17,26.3,4.3,10.5,.407,1.4,3.7,.364,2.9,6.8,.431,1.4,1.8,.756,0.5,1.9,2.4,2.0,1.0,0.4,1.4,1.8,11.3
2011-12,24,MEM,NBA,SG,66,0,26.8,4.5,11.2,.408,1.5,4.2,.364,3.0,7.0,.434,2.0,2.6,.773,0.5,2.7,3.2,2.6,1.1,0.3,1.9,2.1,12.6
2012-13,25,DAL,NBA,SG,82,82,35.5,5.6,12.5,.449,1.7,4.3,.407,3.9,8.3,.471,2.3,2.8,.820,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,15.3
2013-14,26,MIL,NBA,SG,52,23,25.9,4.3,10.6,.407,1.6,4.4,.370,2.7,6.2,.433,1.5,1.7,.864,0.5,1.9,2.4,2.2,0.5,0.3,1.8,2.1,11.7
Career,,,NBA,,435,286,32.5,5.5,12.7,.433,1.6,4.2,.380,3.9,8.5,.460,2.2,2.7,.821,0.6,2.7,3.3,3.0,1.0,0.3,2.1,2.2,14.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,301,181,32.8,5.7,13.1,.433,1.6,4.2,.375,4.1,8.9,.460,2.3,2.8,.817,0.6,2.7,3.3,2.7,1.1,0.3,2.1,2.1,15.2
1 season,,DAL,NBA,,82,82,35.5,5.6,12.5,.449,1.7,4.3,.407,3.9,8.3,.471,2.3,2.8,.820,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,15.3
1 season,,MIL,NBA,,52,23,25.9,4.3,10.6,.407,1.6,4.4,.370,2.7,6.2,.433,1.5,1.7,.864,0.5,1.9,2.4,2.2,0.5,0.3,1.8,2.1,11.7
