
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,SAC,NBA,SF,77,31,25.1,3.9,8.7,.446,1.0,2.6,.369,2.9,6.1,.480,1.5,2.3,.672,1.0,3.6,4.5,1.2,0.7,0.2,1.3,1.6,10.3
2010-11,22,SAC,NBA,SF,71,27,24.0,3.2,7.7,.412,1.3,3.5,.372,1.9,4.2,.445,1.0,1.4,.673,1.0,3.3,4.3,1.0,0.8,0.2,1.0,1.6,8.6
2011-12,23,CLE,NBA,SF,65,35,20.6,2.6,6.3,.403,0.8,2.6,.315,1.7,3.8,.463,1.1,1.7,.685,1.0,2.5,3.5,1.0,0.6,0.3,1.0,1.8,7.1
2012-13,24,CLE,NBA,SF,43,1,11.7,1.5,3.7,.394,0.6,1.8,.329,0.9,2.0,.452,0.5,1.0,.537,0.5,2.2,2.7,0.7,0.6,0.3,0.5,1.0,4.0
2013-14,25,HOU,NBA,PF,71,2,18.1,2.4,5.8,.422,0.9,2.5,.347,1.6,3.3,.479,1.2,1.7,.680,0.8,2.9,3.7,1.2,0.6,0.2,1.0,1.4,6.9
Career,,,NBA,,327,96,20.7,2.8,6.7,.421,0.9,2.7,.352,1.9,4.1,.467,1.1,1.7,.667,0.9,3.0,3.8,1.1,0.7,0.2,1.0,1.5,7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAC,NBA,,148,58,24.5,3.5,8.2,.431,1.1,3.0,.371,2.4,5.2,.466,1.3,1.9,.673,1.0,3.4,4.4,1.1,0.7,0.2,1.1,1.6,9.5
2 seasons,,CLE,NBA,,108,36,17.1,2.1,5.3,.400,0.7,2.3,.320,1.4,3.0,.460,0.9,1.4,.644,0.8,2.4,3.2,0.9,0.6,0.3,0.8,1.5,5.9
1 season,,HOU,NBA,,71,2,18.1,2.4,5.8,.422,0.9,2.5,.347,1.6,3.3,.479,1.2,1.7,.680,0.8,2.9,3.7,1.2,0.6,0.2,1.0,1.4,6.9
