
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,21,MEM,NBA,C,82,79,36.7,6.7,13.0,.518,0.0,0.1,.200,6.7,12.9,.519,4.1,5.8,.709,2.9,6.0,8.9,2.7,0.5,2.1,2.7,2.4,17.6
2002-03,22,MEM,NBA,PF,82,82,36.0,6.9,13.6,.510,0.0,0.1,.100,6.9,13.5,.514,5.1,6.9,.736,2.3,6.4,8.8,2.8,0.4,1.8,2.6,2.7,19.0
2003-04,23,MEM,NBA,PF,78,78,31.5,6.5,13.4,.482,0.1,0.2,.267,6.4,13.3,.485,4.7,6.6,.714,2.6,5.1,7.7,2.5,0.6,1.7,2.4,2.4,17.7
2004-05,24,MEM,NBA,PF,56,53,32.0,6.4,12.4,.514,0.0,0.1,.167,6.4,12.3,.517,5.0,6.6,.768,2.3,5.0,7.3,2.4,0.7,1.7,2.4,2.6,17.8
2005-06 ★,25,MEM,NBA,PF,80,80,39.2,7.5,14.9,.503,0.0,0.2,.250,7.5,14.8,.505,5.3,7.7,.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4
2006-07,26,MEM,NBA,C,59,59,36.2,7.8,14.5,.538,0.1,0.2,.273,7.8,14.4,.542,5.1,6.8,.748,2.5,7.3,9.8,3.4,0.5,2.1,2.7,2.3,20.8
2007-08,27,TOT,NBA,C,66,66,35.6,7.2,13.5,.534,0.1,0.2,.250,7.1,13.2,.539,4.4,5.5,.807,2.3,6.0,8.4,3.2,0.5,1.5,1.9,2.1,18.9
2007-08,27,MEM,NBA,C,39,39,36.7,7.2,14.3,.501,0.1,0.4,.267,7.1,13.9,.507,4.5,5.5,.819,2.4,6.4,8.8,3.0,0.4,1.4,2.1,2.2,18.9
2007-08,27,LAL,NBA,C,27,27,34.0,7.3,12.3,.589,0.0,0.0,.000,7.3,12.3,.590,4.3,5.4,.789,2.3,5.6,7.8,3.5,0.5,1.6,1.6,2.0,18.8
2008-09 ★,28,LAL,NBA,C,81,81,37.0,7.3,12.9,.567,0.0,0.0,.500,7.3,12.9,.567,4.2,5.4,.781,3.2,6.4,9.6,3.5,0.6,1.0,1.9,2.1,18.9
2009-10 ★,29,LAL,NBA,C,65,65,37.0,7.0,13.0,.536,0.0,0.1,.000,7.0,12.9,.539,4.4,5.6,.790,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3
2010-11 ★,30,LAL,NBA,C,82,82,37.0,7.2,13.7,.529,0.0,0.0,.333,7.2,13.6,.530,4.3,5.2,.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8
2011-12,31,LAL,NBA,PF,65,65,37.4,7.1,14.1,.501,0.1,0.4,.259,7.0,13.7,.508,3.1,4.0,.782,2.8,7.6,10.4,3.6,0.6,1.4,2.2,2.0,17.4
2012-13,32,LAL,NBA,PF,49,42,33.8,5.5,11.8,.466,0.2,0.6,.286,5.3,11.2,.475,2.6,3.6,.702,2.3,6.3,8.6,4.1,0.5,1.2,2.1,1.9,13.7
2013-14,33,LAL,NBA,C,60,60,31.4,7.1,14.8,.480,0.1,0.2,.286,7.0,14.5,.483,3.1,4.2,.736,2.1,7.6,9.7,3.4,0.5,1.5,2.4,2.1,17.4
Career,,,NBA,,905,892,35.6,7.0,13.5,.515,0.0,0.2,.247,6.9,13.4,.518,4.3,5.8,.750,2.7,6.5,9.2,3.3,0.5,1.6,2.3,2.3,18.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,476,470,35.5,7.0,13.7,.509,0.0,0.2,.230,6.9,13.6,.512,4.8,6.6,.730,2.5,6.1,8.6,3.1,0.5,1.8,2.6,2.4,18.8
7 seasons,,LAL,NBA,,429,422,35.7,7.0,13.3,.522,0.0,0.2,.263,6.9,13.2,.526,3.8,4.8,.780,2.9,7.0,9.9,3.5,0.6,1.4,2.0,2.2,17.7
