
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,CHA,NBA,PG,80,54,30.1,4.3,11.0,.391,1.2,3.4,.358,3.1,7.7,.405,2.0,2.8,.725,1.0,2.4,3.3,5.6,1.3,0.1,2.3,2.3,11.9
2006-07,22,CHA,NBA,PG,78,75,36.3,5.0,13.1,.384,1.3,4.0,.330,3.7,9.1,.407,2.6,3.3,.797,0.7,2.8,3.4,7.0,1.5,0.1,2.9,2.3,14.0
2007-08,23,CHA,NBA,PG,79,79,37.6,5.2,12.6,.413,0.7,2.5,.280,4.5,10.1,.447,3.3,4.1,.800,0.5,2.5,3.0,7.4,1.2,0.2,2.7,2.3,14.4
2008-09,24,CHA,NBA,PG,82,81,37.6,5.4,13.2,.408,0.7,2.5,.285,4.7,10.7,.437,2.7,3.3,.805,0.7,3.1,3.8,6.7,1.5,0.4,2.8,2.3,14.2
2009-10,25,CHA,NBA,PG,80,80,33.0,4.9,10.6,.459,0.8,2.0,.385,4.1,8.6,.475,1.7,2.2,.763,0.7,2.9,3.6,5.6,1.5,0.3,2.1,2.2,12.1
2010-11,26,TOT,NBA,PG-SG,75,54,36.5,5.7,13.4,.425,1.5,4.4,.353,4.1,9.0,.460,2.6,3.2,.805,0.6,2.9,3.6,8.3,1.7,0.1,2.9,2.0,15.5
2010-11,26,NYK,NBA,PG,54,54,38.4,6.3,14.8,.423,1.6,5.0,.328,4.6,9.9,.471,2.9,3.4,.867,0.7,2.9,3.6,9.0,1.8,0.2,3.3,2.1,17.1
2010-11,26,DEN,NBA,SG,21,0,31.6,4.2,9.7,.431,1.3,2.9,.459,2.9,6.8,.420,1.8,2.9,.617,0.4,3.2,3.6,6.5,1.3,0.0,2.1,1.8,11.5
2011-12,27,POR,NBA,PG,60,56,31.8,4.4,10.7,.407,1.0,3.4,.305,3.3,7.3,.453,1.7,2.1,.806,0.5,2.0,2.5,6.5,1.3,0.2,2.8,2.0,11.4
2012-13,28,NYK,NBA,PG,68,68,34.0,5.5,13.0,.427,1.4,3.8,.360,4.2,9.2,.455,1.5,1.9,.789,0.8,2.1,2.9,5.5,1.4,0.2,2.3,1.9,13.9
2013-14,29,NYK,NBA,PG,65,65,31.0,3.7,9.4,.395,1.0,3.0,.318,2.7,6.4,.431,1.4,1.9,.721,0.8,2.2,3.0,5.6,1.2,0.4,2.0,2.4,9.7
Career,,,NBA,,667,612,34.4,4.9,11.9,.412,1.1,3.2,.332,3.9,8.8,.441,2.2,2.8,.783,0.7,2.6,3.3,6.5,1.4,0.2,2.5,2.2,13.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHA,NBA,,399,369,34.9,5.0,12.1,.410,0.9,2.9,.327,4.0,9.2,.435,2.4,3.1,.782,0.7,2.7,3.4,6.4,1.4,0.2,2.6,2.3,13.3
3 seasons,,NYK,NBA,,187,187,34.2,5.1,12.3,.417,1.3,3.9,.337,3.8,8.4,.454,1.9,2.3,.803,0.8,2.4,3.1,6.6,1.4,0.3,2.5,2.1,13.4
1 season,,POR,NBA,,60,56,31.8,4.4,10.7,.407,1.0,3.4,.305,3.3,7.3,.453,1.7,2.1,.806,0.5,2.0,2.5,6.5,1.3,0.2,2.8,2.0,11.4
1 season,,DEN,NBA,,21,0,31.6,4.2,9.7,.431,1.3,2.9,.459,2.9,6.8,.420,1.8,2.9,.617,0.4,3.2,3.6,6.5,1.3,0.0,2.1,1.8,11.5
