
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,21,NJN,NBA,SF,79,9,24.3,3.4,7.5,.457,0.2,0.7,.232,3.3,6.8,.480,2.4,3.4,.713,1.1,2.6,3.7,1.8,0.8,0.6,1.4,2.7,9.4
2002-03,22,NJN,NBA,SF,80,80,36.0,5.7,11.4,.501,0.1,0.3,.250,5.6,11.1,.507,4.1,5.5,.743,1.9,4.6,6.4,2.5,1.0,0.6,2.0,2.7,15.5
2003-04,23,NJN,NBA,SF,82,82,38.2,6.8,13.6,.498,0.6,1.6,.364,6.2,12.0,.516,4.4,5.7,.763,1.3,4.3,5.7,3.8,1.1,0.3,2.4,2.7,18.5
2004-05,24,NJN,NBA,SF,33,33,41.1,7.2,17.1,.422,0.9,2.7,.337,6.3,14.4,.438,6.9,8.2,.844,1.5,5.8,7.3,4.0,1.0,0.5,4.0,3.3,22.2
2005-06,25,NJN,NBA,SF,78,78,39.2,6.3,12.9,.493,0.8,2.4,.319,5.6,10.5,.532,6.0,7.4,.812,1.2,5.6,6.8,3.8,0.8,0.2,2.2,2.5,19.5
2006-07,26,NJN,NBA,SF,55,53,35.6,5.5,12.1,.456,0.9,2.6,.359,4.6,9.5,.483,4.3,5.9,.733,0.9,3.5,4.4,2.7,0.6,0.1,2.2,2.2,16.3
2007-08,27,NJN,NBA,SF,82,82,39.0,7.5,16.2,.466,0.9,2.6,.362,6.6,13.6,.486,6.6,8.3,.798,1.1,3.0,4.2,3.1,0.9,0.3,2.4,2.7,22.6
2008-09,28,MIL,NBA,SF,82,82,35.8,6.5,14.9,.439,1.4,3.6,.397,5.1,11.3,.453,5.1,6.3,.805,0.7,3.9,4.6,2.4,0.8,0.2,2.0,3.1,19.6
2009-10,29,SAS,NBA,SF,81,70,31.1,4.5,9.6,.467,0.7,2.3,.316,3.7,7.3,.515,2.6,3.5,.735,0.7,3.7,4.4,2.0,0.6,0.5,1.3,2.2,12.3
2010-11,30,SAS,NBA,SF,81,81,30.4,3.8,7.9,.474,1.7,3.8,.440,2.1,4.1,.504,1.8,2.4,.759,0.7,3.2,3.8,1.3,0.5,0.4,1.1,2.0,11.0
2011-12,31,TOT,NBA,SF,63,44,27.7,3.2,7.7,.416,1.8,4.3,.420,1.4,3.5,.411,0.9,1.3,.694,0.4,3.1,3.5,1.4,0.6,0.3,0.8,1.9,9.2
2011-12,31,SAS,NBA,SF,41,41,28.5,3.2,7.8,.414,2.0,4.6,.421,1.3,3.1,.403,0.9,1.2,.700,0.4,3.0,3.5,1.3,0.6,0.3,0.8,2.0,9.2
2011-12,31,GSW,NBA,SF,22,3,26.4,3.2,7.7,.420,1.5,3.6,.418,1.7,4.1,.422,1.1,1.6,.686,0.4,3.1,3.5,1.5,0.5,0.3,0.8,1.7,9.0
2012-13,32,GSW,NBA,SF,56,1,10.1,1.1,2.4,.456,0.3,0.8,.311,0.9,1.6,.527,0.7,0.9,.717,0.1,1.4,1.5,0.6,0.3,0.1,0.4,0.8,3.1
2013-14,33,UTA,NBA,SF,82,78,27.0,3.6,8.0,.450,1.5,3.7,.409,2.1,4.3,.484,1.5,2.0,.741,0.2,2.5,2.7,1.6,0.7,0.2,1.1,2.0,10.1
Career,,,NBA,,934,773,32.1,5.0,10.8,.465,0.9,2.4,.376,4.1,8.4,.491,3.6,4.6,.773,0.9,3.6,4.5,2.4,0.7,0.3,1.7,2.4,14.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,NJN,NBA,,489,417,35.8,6.0,12.6,.475,0.6,1.7,.338,5.4,10.9,.497,4.8,6.2,.777,1.3,4.1,5.4,3.0,0.9,0.4,2.2,2.7,17.4
3 seasons,,SAS,NBA,,203,192,30.3,3.9,8.6,.460,1.3,3.4,.401,2.6,5.2,.498,1.9,2.6,.741,0.6,3.3,4.0,1.6,0.5,0.4,1.1,2.1,11.2
1 season,,MIL,NBA,,82,82,35.8,6.5,14.9,.439,1.4,3.6,.397,5.1,11.3,.453,5.1,6.3,.805,0.7,3.9,4.6,2.4,0.8,0.2,2.0,3.1,19.6
1 season,,UTA,NBA,,82,78,27.0,3.6,8.0,.450,1.5,3.7,.409,2.1,4.3,.484,1.5,2.0,.741,0.2,2.5,2.7,1.6,0.7,0.2,1.1,2.0,10.1
2 seasons,,GSW,NBA,,78,4,14.7,1.7,3.9,.436,0.6,1.6,.379,1.1,2.3,.475,0.8,1.1,.705,0.2,1.9,2.1,0.8,0.3,0.2,0.5,1.1,4.8
