
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,MEM,NBA,SF,78,43,27.0,4.1,9.7,.422,0.7,1.8,.364,3.4,7.9,.436,1.9,2.7,.727,1.2,3.3,4.5,1.3,0.9,0.9,1.8,2.5,10.8
2007-08,21,MEM,NBA,SF,81,81,37.0,7.7,16.7,.461,1.7,4.8,.346,6.1,12.0,.507,3.1,3.9,.785,1.7,4.4,6.2,2.0,1.4,1.0,2.3,2.8,20.1
2008-09,22,MEM,NBA,SF,79,78,37.3,7.2,16.0,.453,1.1,3.1,.351,6.2,12.9,.477,3.3,4.4,.767,1.4,4.2,5.5,1.7,1.2,0.7,2.6,2.8,18.9
2009-10,23,MEM,NBA,SF,80,80,39.7,7.5,16.1,.466,0.8,2.5,.327,6.7,13.6,.492,3.8,5.0,.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6
2010-11,24,MEM,NBA,SF,54,54,39.9,7.6,16.1,.471,1.1,2.7,.396,6.5,13.4,.486,3.6,4.5,.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8
2011-12,25,MEM,NBA,SF,65,65,37.3,7.5,16.4,.455,0.8,2.7,.312,6.6,13.8,.482,3.2,4.0,.791,2.0,4.4,6.4,2.3,1.5,0.8,2.5,2.1,19.0
2012-13,26,TOT,NBA,SF,75,74,35.8,6.9,16.7,.416,1.1,3.5,.323,5.8,13.2,.440,3.2,3.9,.814,1.3,4.8,6.1,2.7,1.5,0.7,2.6,2.4,18.2
2012-13,26,MEM,NBA,SF,42,42,36.7,6.7,16.4,.408,1.0,3.1,.310,5.7,13.3,.431,2.9,3.7,.776,1.3,4.6,5.9,2.6,1.3,0.7,2.5,2.1,17.2
2012-13,26,TOR,NBA,SF,33,32,34.7,7.3,17.1,.425,1.3,4.0,.336,5.9,13.2,.452,3.6,4.2,.856,1.3,5.1,6.4,2.8,1.7,0.7,2.8,2.9,19.5
2013-14,27,TOT,NBA,SF,73,73,34.7,7.4,16.2,.455,0.9,2.7,.330,6.5,13.5,.481,4.4,5.3,.822,1.5,4.4,6.0,2.9,1.3,0.8,3.1,2.3,20.0
2013-14,27,TOR,NBA,SF,18,18,35.5,7.2,18.6,.388,1.2,3.3,.373,6.0,15.3,.391,3.8,4.9,.773,1.6,5.8,7.4,2.2,1.6,1.3,3.3,2.6,19.4
2013-14,27,SAC,NBA,SF,55,55,34.4,7.4,15.3,.482,0.8,2.5,.312,6.6,12.8,.516,4.5,5.4,.836,1.5,4.0,5.5,3.1,1.2,0.6,3.0,2.3,20.1
Career,,,NBA,,585,548,35.9,7.0,15.4,.451,1.0,3.0,.342,5.9,12.5,.477,3.3,4.2,.784,1.5,4.3,5.8,2.1,1.4,0.9,2.4,2.5,18.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,479,443,36.2,6.9,15.2,.452,1.0,3.0,.344,5.9,12.3,.478,3.1,4.0,.771,1.5,4.2,5.8,2.0,1.3,0.9,2.3,2.5,17.9
1 season,,SAC,NBA,,55,55,34.4,7.4,15.3,.482,0.8,2.5,.312,6.6,12.8,.516,4.5,5.4,.836,1.5,4.0,5.5,3.1,1.2,0.6,3.0,2.3,20.1
2 seasons,,TOR,NBA,,51,50,35.0,7.3,17.6,.411,1.3,3.7,.347,6.0,13.9,.428,3.7,4.5,.824,1.4,5.4,6.8,2.6,1.7,0.9,3.0,2.8,19.5
