
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21,WAS,NBA,PG,64,0,12.2,1.4,3.4,.400,0.2,0.7,.286,1.2,2.8,.427,0.7,0.9,.712,0.2,1.3,1.4,2.0,0.4,0.0,0.8,0.8,3.6
2012-13,22,TOT,NBA,PG-SG,31,3,13.4,1.9,4.1,.460,0.6,1.6,.367,1.3,2.5,.519,0.3,0.5,.563,0.1,1.2,1.3,2.2,0.5,0.0,1.1,1.3,4.6
2012-13,22,WAS,NBA,PG,7,2,20.1,2.3,5.7,.400,0.6,1.9,.308,1.7,3.9,.444,0.1,0.3,.500,0.4,1.9,2.3,3.3,0.9,0.0,1.1,1.4,5.3
2012-13,22,PHI,NBA,SG,4,0,1.8,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.5
2012-13,22,ATL,NBA,PG,20,1,13.4,2.1,4.2,.488,0.7,1.8,.400,1.4,2.5,.551,0.4,0.7,.571,0.0,1.2,1.2,2.2,0.5,0.0,1.2,1.4,5.2
2013-14,23,ATL,NBA,PG,73,11,20.4,2.9,6.9,.417,0.8,2.5,.337,2.0,4.3,.464,0.9,1.0,.865,0.3,1.9,2.2,3.7,0.7,0.0,1.2,1.4,7.5
Career,,,NBA,,168,14,16.0,2.1,5.0,.419,0.5,1.6,.335,1.6,3.4,.460,0.7,0.9,.772,0.2,1.5,1.7,2.8,0.6,0.0,1.0,1.1,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ATL,NBA,,93,12,18.9,2.7,6.3,.427,0.8,2.4,.347,1.9,3.9,.475,0.8,0.9,.818,0.2,1.8,2.0,3.4,0.6,0.0,1.2,1.4,7.0
2 seasons,,WAS,NBA,,71,2,13.0,1.5,3.7,.400,0.2,0.8,.291,1.2,2.9,.429,0.6,0.9,.705,0.2,1.3,1.5,2.2,0.5,0.0,0.8,0.8,3.8
1 season,,PHI,NBA,,4,0,1.8,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.5
