
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,23,HOU,NBA,SF,35,1,5.5,0.5,1.4,.360,0.4,1.1,.333,0.1,0.3,.455,0.1,0.1,1.000,0.1,0.6,0.7,0.2,0.1,0.0,0.1,0.6,1.5
2007-08,24,HOU,NBA,SF,35,0,7.5,1.4,2.9,.480,1.0,2.0,.479,0.4,0.9,.484,0.1,0.1,.750,0.1,0.9,1.0,0.2,0.1,0.1,0.1,0.5,3.9
2008-09,25,LAC,NBA,PF,71,3,16.4,2.5,5.6,.444,1.7,4.0,.416,0.8,1.5,.518,0.3,0.3,.913,0.3,1.5,1.8,0.6,0.3,0.1,0.3,1.0,6.9
2009-10,26,LAC,NBA,SF,54,0,6.7,0.8,2.0,.389,0.4,1.3,.310,0.4,0.7,.541,0.1,0.2,.778,0.0,0.6,0.6,0.1,0.1,0.0,0.0,0.4,2.1
2010-11,27,TOT,NBA,SF,30,0,7.2,1.2,2.2,.522,0.9,1.5,.565,0.3,0.7,.429,0.3,0.3,1.000,0.1,0.8,0.9,0.1,0.0,0.2,0.1,0.5,3.5
2010-11,27,DAL,NBA,SF,7,0,2.6,0.6,1.1,.500,0.4,0.6,.750,0.1,0.6,.250,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.4,1.6
2010-11,27,SAS,NBA,SF,23,0,8.6,1.3,2.6,.525,1.0,1.8,.548,0.3,0.7,.471,0.3,0.3,1.000,0.2,0.8,1.0,0.1,0.0,0.2,0.2,0.5,4.0
2011-12,28,NYK,NBA,PF,54,0,18.9,3.0,6.2,.478,2.5,5.2,.472,0.5,1.0,.509,0.4,0.5,.846,0.2,1.8,1.9,0.2,0.3,0.2,0.4,1.1,8.8
2012-13,29,NYK,NBA,SF,81,1,20.3,2.2,5.3,.414,1.8,4.3,.425,0.4,1.0,.367,0.4,0.4,.909,0.2,1.7,1.9,0.4,0.3,0.1,0.1,1.2,6.6
2013-14,30,TOR,NBA,PF,54,1,10.0,1.1,2.7,.411,1.0,2.3,.426,0.1,0.4,.333,0.1,0.1,1.000,0.1,0.9,1.1,0.2,0.2,0.1,0.1,0.8,3.3
Career,,,NBA,,414,6,13.0,1.7,4.0,.439,1.3,3.1,.432,0.4,0.9,.465,0.2,0.3,.892,0.2,1.2,1.4,0.3,0.2,0.1,0.2,0.8,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NYK,NBA,,135,1,19.7,2.5,5.7,.442,2.1,4.7,.445,0.4,1.0,.425,0.4,0.4,.881,0.2,1.7,1.9,0.3,0.3,0.1,0.2,1.2,7.5
2 seasons,,LAC,NBA,,125,3,12.2,1.7,4.0,.433,1.1,2.9,.395,0.6,1.2,.524,0.2,0.3,.875,0.2,1.1,1.3,0.4,0.2,0.1,0.2,0.7,4.8
2 seasons,,HOU,NBA,,70,1,6.5,1.0,2.2,.441,0.7,1.6,.427,0.3,0.6,.476,0.1,0.1,.833,0.1,0.8,0.9,0.2,0.1,0.0,0.1,0.5,2.7
1 season,,TOR,NBA,,54,1,10.0,1.1,2.7,.411,1.0,2.3,.426,0.1,0.4,.333,0.1,0.1,1.000,0.1,0.9,1.1,0.2,0.2,0.1,0.1,0.8,3.3
1 season,,SAS,NBA,,23,0,8.6,1.3,2.6,.525,1.0,1.8,.548,0.3,0.7,.471,0.3,0.3,1.000,0.2,0.8,1.0,0.1,0.0,0.2,0.2,0.5,4.0
1 season,,DAL,NBA,,7,0,2.6,0.6,1.1,.500,0.4,0.6,.750,0.1,0.6,.250,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.4,1.6
