
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22,CHI,NBA,SG,71,4,12.2,1.5,3.6,.426,0.2,0.6,.357,1.3,3.0,.439,0.3,0.6,.511,0.5,1.7,2.2,0.8,0.5,0.2,0.8,1.4,3.6
2007-08,23,CHI,NBA,SG,69,22,20.8,2.6,6.1,.428,0.4,1.3,.330,2.2,4.8,.453,1.1,1.5,.721,0.7,3.0,3.7,1.9,0.9,0.4,1.3,1.9,6.7
2008-09,24,TOT,NBA,SF-SG,66,36,22.0,2.3,5.4,.426,0.4,1.3,.276,1.9,4.1,.474,0.9,1.1,.836,0.8,2.8,3.7,1.7,1.1,0.7,1.0,1.6,5.9
2008-09,24,CHI,NBA,SF,43,14,17.1,1.8,4.2,.434,0.3,1.2,.300,1.5,3.1,.485,0.5,0.6,.840,0.6,2.3,2.9,1.5,0.8,0.4,0.9,1.2,4.5
2008-09,24,OKC,NBA,SG,23,22,31.2,3.2,7.6,.417,0.4,1.6,.243,2.8,6.0,.464,1.7,2.1,.833,1.2,4.0,5.2,2.0,1.7,1.1,1.2,2.3,8.5
2009-10,25,OKC,NBA,SG,82,82,28.6,2.4,5.4,.440,0.5,1.6,.313,1.9,3.8,.494,0.7,1.1,.674,0.9,3.8,4.7,1.8,1.2,0.6,1.1,1.9,6.0
2010-11,26,OKC,NBA,SG,79,79,25.9,2.0,4.2,.471,0.4,1.3,.275,1.6,2.9,.558,0.7,1.0,.747,0.8,3.6,4.4,1.4,1.2,0.5,0.7,2.2,5.1
2011-12,27,OKC,NBA,SG,42,42,21.8,1.6,3.7,.432,0.7,1.7,.437,0.9,2.0,.429,0.9,1.0,.884,0.5,2.5,3.0,1.1,0.9,0.4,1.0,1.9,4.8
2012-13,28,OKC,NBA,SG,81,81,27.5,2.8,5.8,.481,1.3,3.2,.419,1.4,2.6,.558,0.7,0.9,.826,0.7,3.2,3.9,1.5,1.3,0.5,0.8,2.2,7.6
2013-14,29,OKC,NBA,SG,61,61,26.0,2.3,5.6,.415,0.8,2.5,.316,1.5,3.1,.495,0.9,1.1,.768,0.8,2.8,3.6,1.5,1.3,0.3,0.9,1.5,6.3
Career,,,NBA,,551,407,23.4,2.2,5.0,.442,0.6,1.7,.348,1.6,3.3,.490,0.8,1.0,.746,0.7,3.0,3.7,1.5,1.1,0.5,0.9,1.8,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,OKC,NBA,,368,367,26.7,2.3,5.2,.448,0.7,2.0,.353,1.6,3.1,.510,0.8,1.1,.773,0.8,3.3,4.1,1.5,1.2,0.5,0.9,2.0,6.2
3 seasons,,CHI,NBA,,183,40,16.6,2.0,4.7,.428,0.3,1.0,.328,1.7,3.7,.455,0.7,1.0,.684,0.6,2.3,2.9,1.4,0.7,0.3,1.0,1.5,5.0
