
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,TOT,NBA,C,45,14,11.6,1.4,3.0,.474,0.0,0.0,,1.4,3.0,.474,0.8,1.2,.712,1.0,1.7,2.7,0.3,0.3,0.6,0.8,1.9,3.6
2010-11,24,NYK,NBA,C,34,14,13.5,1.5,3.3,.464,0.0,0.0,,1.5,3.3,.464,0.9,1.3,.705,1.2,1.9,3.1,0.4,0.4,0.7,0.9,2.2,4.0
2010-11,24,DEN,NBA,C,11,0,6.0,1.0,1.9,.524,0.0,0.0,,1.0,1.9,.524,0.5,0.7,.750,0.5,1.1,1.5,0.0,0.1,0.2,0.3,0.7,2.5
2011-12,25,DEN,NBA,C,44,35,15.6,2.3,4.3,.526,0.0,0.0,,2.3,4.3,.526,0.9,1.3,.684,1.2,2.9,4.1,0.5,0.3,1.0,1.2,2.0,5.4
2012-13,26,DEN,NBA,C,41,1,8.9,1.1,2.1,.506,0.0,0.0,.000,1.1,2.1,.518,0.5,0.6,.769,1.2,1.4,2.6,0.2,0.1,0.4,0.6,1.4,2.6
2013-14,27,DEN,NBA,C,82,30,21.6,3.5,6.6,.523,0.0,0.3,.167,3.4,6.4,.539,2.4,3.2,.754,2.1,4.4,6.4,0.8,0.3,1.2,1.5,2.6,9.4
Career,,,NBA,,212,80,15.8,2.3,4.5,.515,0.0,0.1,.154,2.3,4.4,.525,1.4,1.9,.739,1.5,2.9,4.4,0.5,0.3,0.9,1.1,2.1,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DEN,NBA,,178,66,16.2,2.5,4.7,.522,0.0,0.1,.154,2.4,4.6,.534,1.5,2.0,.744,1.6,3.1,4.7,0.5,0.3,0.9,1.1,2.0,6.4
1 season,,NYK,NBA,,34,14,13.5,1.5,3.3,.464,0.0,0.0,,1.5,3.3,.464,0.9,1.3,.705,1.2,1.9,3.1,0.4,0.4,0.7,0.9,2.2,4.0
