
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,NYK,NBA,PG,56,12,19.4,3.2,7.0,.458,1.2,3.1,.389,2.0,3.9,.514,1.0,1.2,.809,0.7,1.2,1.9,2.0,0.8,0.1,1.0,2.1,8.6
2010-11,24,NYK,NBA,SG,81,9,24.3,3.9,9.3,.416,1.8,4.7,.373,2.1,4.6,.460,1.0,1.3,.794,0.8,2.2,3.0,3.0,1.1,0.0,1.1,2.2,10.6
2011-12,25,NYK,NBA,PG,38,9,17.3,2.5,7.6,.324,0.7,3.1,.231,1.8,4.6,.387,0.6,0.7,.846,0.4,1.5,1.9,2.0,0.8,0.0,1.5,1.4,6.2
2012-13,26,TOT,NBA,PG,71,0,18.2,2.6,6.6,.403,1.2,3.0,.380,1.5,3.5,.424,1.1,1.2,.905,0.5,1.5,1.9,2.1,1.0,0.0,1.1,2.0,7.5
2012-13,26,HOU,NBA,PG,49,0,18.6,2.8,7.2,.395,1.2,3.3,.377,1.6,3.9,.411,1.2,1.4,.882,0.5,1.4,1.8,1.9,0.8,0.0,1.1,2.1,8.1
2012-13,26,SAC,NBA,PG,22,0,17.1,2.2,5.2,.430,1.0,2.5,.389,1.3,2.7,.467,0.7,0.7,1.000,0.5,1.7,2.2,2.6,1.4,0.0,1.1,1.9,6.1
2013-14,27,TOT,NBA,PG,51,17,13.2,1.4,3.7,.384,0.6,2.0,.304,0.8,1.7,.477,0.5,0.7,.735,0.4,1.4,1.7,1.3,0.4,0.1,0.7,1.6,4.0
2013-14,27,GSW,NBA,PG,24,0,11.0,1.3,3.6,.372,0.8,2.5,.322,0.5,1.1,.481,0.2,0.3,.625,0.2,0.9,1.1,0.8,0.3,0.1,0.7,1.4,3.7
2013-14,27,MIA,NBA,PG,27,17,15.2,1.5,3.9,.394,0.4,1.6,.279,1.1,2.3,.475,0.7,1.0,.769,0.5,1.7,2.3,1.8,0.5,0.1,0.7,1.7,4.2
Career,,,NBA,,297,47,19.1,2.9,7.0,.405,1.2,3.3,.353,1.7,3.7,.452,0.9,1.1,.824,0.6,1.6,2.2,2.2,0.8,0.1,1.1,1.9,7.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,175,30,21.2,3.4,8.2,.409,1.4,3.9,.353,2.0,4.3,.459,0.9,1.1,.806,0.7,1.7,2.4,2.5,0.9,0.0,1.1,2.0,9.0
1 season,,HOU,NBA,,49,0,18.6,2.8,7.2,.395,1.2,3.3,.377,1.6,3.9,.411,1.2,1.4,.882,0.5,1.4,1.8,1.9,0.8,0.0,1.1,2.1,8.1
1 season,,MIA,NBA,,27,17,15.2,1.5,3.9,.394,0.4,1.6,.279,1.1,2.3,.475,0.7,1.0,.769,0.5,1.7,2.3,1.8,0.5,0.1,0.7,1.7,4.2
1 season,,GSW,NBA,,24,0,11.0,1.3,3.6,.372,0.8,2.5,.322,0.5,1.1,.481,0.2,0.3,.625,0.2,0.9,1.1,0.8,0.3,0.1,0.7,1.4,3.7
1 season,,SAC,NBA,,22,0,17.1,2.2,5.2,.430,1.0,2.5,.389,1.3,2.7,.467,0.7,0.7,1.000,0.5,1.7,2.2,2.6,1.4,0.0,1.1,1.9,6.1
