
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,POR,NBA,PF,8,0,2.4,0.4,0.9,.429,0.0,0.0,,0.4,0.9,.429,0.3,0.5,.500,0.3,0.3,0.5,0.1,0.1,0.0,0.1,0.1,1.0
2004-05,20,POR,NBA,SF,59,2,13.4,2.3,4.5,.498,0.1,0.2,.400,2.2,4.4,.502,0.8,1.3,.653,0.7,1.4,2.1,0.6,0.5,0.7,0.7,1.3,5.4
2005-06,21,POR,NBA,PF,69,11,16.7,2.3,5.3,.440,0.2,0.8,.264,2.1,4.6,.470,0.9,1.3,.697,0.7,2.0,2.7,0.5,0.4,0.7,0.5,1.6,5.8
2006-07,22,POR,NBA,PF,67,1,22.9,3.7,8.5,.434,0.1,0.6,.270,3.5,7.9,.445,2.1,2.7,.790,1.0,2.3,3.2,0.8,0.9,1.1,1.0,2.2,9.6
2007-08,23,POR,NBA,PF,82,6,26.7,5.1,11.8,.433,0.5,1.2,.396,4.6,10.5,.437,2.7,3.6,.741,1.2,3.4,4.6,1.3,0.7,0.8,1.3,2.1,13.3
2008-09,24,POR,NBA,SF,81,6,27.7,4.8,10.5,.453,1.1,2.9,.377,3.7,7.6,.482,2.2,3.0,.723,0.9,3.2,4.1,1.0,0.6,0.7,1.2,2.1,12.8
2009-10,25,TOT,NBA,SF,34,6,21.5,3.2,8.3,.391,1.2,3.1,.381,2.1,5.2,.398,1.4,1.7,.831,1.0,2.6,3.6,1.0,0.5,0.5,0.9,1.3,9.1
2009-10,25,POR,NBA,SF,11,0,21.0,3.5,9.2,.376,1.1,2.8,.387,2.4,6.4,.371,1.9,2.2,.875,1.2,2.3,3.5,0.7,0.6,0.7,1.1,1.2,9.9
2009-10,25,LAC,NBA,SF,23,6,21.7,3.1,7.8,.400,1.2,3.2,.378,1.9,4.6,.415,1.2,1.5,.800,0.9,2.7,3.6,1.1,0.5,0.4,0.9,1.3,8.7
2010-11,26,NJN,NBA,SF,82,55,28.8,3.3,8.9,.375,0.9,3.1,.302,2.4,5.8,.413,1.6,2.1,.772,0.7,3.3,4.0,1.0,0.4,0.4,0.9,1.8,9.2
2011-12,27,SAC,NBA,SF,39,5,12.8,1.5,4.5,.343,0.4,1.5,.267,1.1,2.9,.383,0.8,1.2,.674,0.5,1.1,1.6,0.4,0.5,0.5,0.5,0.9,4.3
2012-13,28,SAC,NBA,SF,38,2,11.7,1.9,4.7,.418,0.4,1.3,.280,1.6,3.3,.472,1.0,1.4,.731,0.4,1.2,1.6,0.6,0.3,0.2,0.5,0.9,5.3
2013-14,29,SAC,NBA,SF,63,4,16.9,2.1,5.2,.399,0.7,1.9,.350,1.4,3.3,.426,0.7,0.8,.808,0.6,2.1,2.7,0.8,0.3,0.3,0.4,1.5,5.4
Career,,,NBA,,622,98,20.9,3.2,7.6,.423,0.6,1.6,.337,2.7,5.9,.447,1.5,2.0,.744,0.8,2.4,3.2,0.8,0.5,0.6,0.8,1.7,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,POR,NBA,,377,26,21.6,3.7,8.3,.443,0.4,1.2,.361,3.2,7.0,.457,1.8,2.4,.737,0.9,2.5,3.4,0.8,0.6,0.8,0.9,1.8,9.6
3 seasons,,SAC,NBA,,140,11,14.4,1.9,4.8,.389,0.5,1.6,.313,1.4,3.2,.428,0.8,1.1,.740,0.5,1.6,2.1,0.6,0.4,0.3,0.5,1.2,5.1
1 season,,NJN,NBA,,82,55,28.8,3.3,8.9,.375,0.9,3.1,.302,2.4,5.8,.413,1.6,2.1,.772,0.7,3.3,4.0,1.0,0.4,0.4,0.9,1.8,9.2
1 season,,LAC,NBA,,23,6,21.7,3.1,7.8,.400,1.2,3.2,.378,1.9,4.6,.415,1.2,1.5,.800,0.9,2.7,3.6,1.1,0.5,0.4,0.9,1.3,8.7
