
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,19,CHI,NBA,C,71,31,19.6,2.1,4.3,.497,0.0,0.0,,2.1,4.3,.497,1.9,3.1,.604,1.6,3.2,4.8,0.8,0.4,1.3,1.4,2.5,6.1
2002-03,20,CHI,NBA,C,75,68,24.4,3.4,6.5,.531,0.0,0.0,,3.4,6.5,.531,2.4,3.9,.608,2.3,4.6,6.9,1.0,0.5,1.4,1.8,2.9,9.2
2003-04,21,CHI,NBA,PF,35,8,22.3,1.9,4.5,.424,0.0,0.0,.000,1.9,4.5,.427,2.3,3.4,.669,2.3,5.4,7.7,0.7,0.5,1.2,1.1,2.5,6.1
2004-05,22,CHI,NBA,C,80,10,27.4,2.6,5.2,.494,0.0,0.0,.000,2.6,5.2,.496,2.8,4.2,.673,3.3,6.4,9.7,0.8,0.9,1.8,1.5,3.4,8.0
2005-06,23,CHI,NBA,C,79,50,26.8,2.0,3.6,.565,0.0,0.0,.000,2.0,3.6,.567,1.2,2.4,.503,3.4,5.7,9.0,1.0,0.5,1.3,1.6,3.8,5.3
2006-07,24,NOK,NBA,C,73,73,34.6,4.0,6.4,.624,0.0,0.0,.000,4.0,6.4,.625,1.5,2.8,.527,4.4,8.0,12.4,0.9,0.5,1.8,1.7,3.3,9.5
2007-08,25,NOH,NBA,C,79,79,35.2,4.8,7.7,.623,0.0,0.0,.000,4.8,7.6,.624,2.2,3.7,.593,4.1,7.7,11.7,1.0,0.6,1.1,1.7,3.1,11.8
2008-09,26,NOH,NBA,C,45,45,32.1,3.6,6.3,.565,0.0,0.0,,3.6,6.3,.565,1.7,3.0,.579,3.6,5.1,8.7,0.5,0.3,1.2,1.6,3.2,8.8
2009-10,27,CHA,NBA,C,51,27,22.8,2.1,3.7,.574,0.0,0.0,,2.1,3.7,.574,2.3,3.1,.732,2.2,4.0,6.3,0.3,0.3,1.1,1.8,2.7,6.5
2010-11,28,DAL,NBA,C,74,74,27.8,3.6,5.5,.654,0.0,0.0,,3.6,5.5,.654,2.9,4.0,.732,2.8,6.6,9.4,0.4,0.5,1.1,1.2,3.2,10.1
2011-12,29,NYK,NBA,C,62,62,33.2,3.9,5.7,.679,0.0,0.0,.000,3.9,5.7,.683,3.5,5.1,.689,3.4,6.5,9.9,0.9,0.9,1.4,1.6,3.0,11.3
2012-13 ★,30,NYK,NBA,C,66,66,32.8,3.9,6.1,.638,0.0,0.0,,3.9,6.1,.638,2.7,3.9,.694,4.1,6.6,10.7,0.9,0.6,1.1,1.3,2.8,10.4
2013-14,31,NYK,NBA,C,55,55,30.2,3.5,5.9,.593,0.0,0.0,.000,3.5,5.8,.595,1.8,2.8,.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,8.7
Career,,,NBA,,845,648,28.6,3.2,5.5,.584,0.0,0.0,.000,3.2,5.5,.585,2.2,3.5,.639,3.1,6.0,9.1,0.8,0.6,1.3,1.5,3.1,8.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHI,NBA,,340,167,24.4,2.5,4.8,.511,0.0,0.0,.000,2.5,4.8,.512,2.1,3.4,.615,2.6,5.1,7.7,0.9,0.6,1.4,1.5,3.1,7.1
3 seasons,,NOKNOH,NBA,,197,197,34.3,4.2,6.9,.611,0.0,0.0,.000,4.2,6.9,.612,1.8,3.2,.569,4.1,7.2,11.3,0.9,0.5,1.4,1.7,3.2,10.2
3 seasons,,NYK,NBA,,183,183,32.2,3.8,5.9,.638,0.0,0.0,.000,3.8,5.9,.640,2.7,4.0,.679,3.5,6.6,10.1,1.0,0.7,1.2,1.4,2.8,10.2
1 season,,DAL,NBA,,74,74,27.8,3.6,5.5,.654,0.0,0.0,,3.6,5.5,.654,2.9,4.0,.732,2.8,6.6,9.4,0.4,0.5,1.1,1.2,3.2,10.1
1 season,,CHA,NBA,,51,27,22.8,2.1,3.7,.574,0.0,0.0,,2.1,3.7,.574,2.3,3.1,.732,2.2,4.0,6.3,0.3,0.3,1.1,1.8,2.7,6.5
