
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,PHI,NBA,SG,53,0,14.5,2.7,6.7,.401,0.4,1.2,.311,2.3,5.6,.419,1.1,1.5,.728,0.3,0.9,1.2,1.0,0.5,0.1,1.1,1.6,6.9
2004-05,23,PHI,NBA,SG,57,21,18.7,2.7,7.4,.366,0.5,1.8,.286,2.2,5.6,.393,1.7,2.2,.776,0.4,1.9,2.3,1.8,0.6,0.1,1.3,2.1,7.7
2005-06,24,PHI,NBA,SG,10,2,15.3,2.8,6.6,.424,1.0,1.9,.526,1.8,4.7,.383,0.4,0.5,.800,0.1,1.4,1.5,0.5,0.2,0.0,1.2,1.3,7.0
2006-07,25,PHI,NBA,SG,74,36,24.9,4.8,11.7,.411,0.7,2.1,.325,4.1,9.6,.430,1.0,1.5,.667,0.6,1.6,2.1,1.5,0.8,0.1,1.4,1.9,11.3
2007-08,26,PHI,NBA,SG,74,74,26.6,5.1,11.8,.436,0.7,2.4,.285,4.4,9.3,.475,1.5,2.0,.757,0.4,2.0,2.5,2.0,0.7,0.3,1.5,1.6,12.4
2008-09,27,PHI,NBA,SG,81,60,22.6,3.5,8.1,.435,0.6,2.0,.317,2.9,6.1,.473,0.8,1.0,.729,0.4,1.2,1.6,2.0,0.7,0.2,0.8,1.9,8.5
2009-10,28,PHI,NBA,SG,73,18,21.3,3.4,7.4,.457,0.6,1.9,.346,2.8,5.6,.494,1.3,1.6,.833,0.3,1.5,1.8,2.1,0.4,0.2,0.9,1.8,8.7
2010-11,29,NOH,NBA,SG,77,13,21.7,3.5,7.9,.443,0.7,2.0,.348,2.8,5.9,.476,1.0,1.3,.780,0.3,1.8,2.1,1.0,0.5,0.2,0.9,1.9,8.7
2011-12,30,ATL,NBA,SG,53,2,17.4,2.9,6.1,.471,0.9,2.1,.442,1.9,4.0,.486,0.9,1.1,.857,0.3,1.2,1.5,0.8,0.4,0.1,0.6,1.4,7.6
2012-13,31,LAC,NBA,SG,72,60,16.5,2.5,5.4,.461,1.0,2.3,.428,1.5,3.1,.486,0.3,0.4,.719,0.2,1.1,1.3,0.8,0.4,0.2,0.4,1.3,6.3
2013-14,32,LAC,NBA,SG,55,9,15.8,1.9,4.9,.376,0.7,2.2,.339,1.1,2.7,.407,0.5,0.6,.824,0.2,1.2,1.4,0.9,0.4,0.2,0.6,1.7,5.0
Career,,,NBA,,679,295,20.4,3.4,7.9,.428,0.7,2.0,.346,2.7,5.9,.456,1.0,1.3,.763,0.3,1.5,1.8,1.4,0.5,0.2,1.0,1.7,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,422,211,21.8,3.8,9.0,.422,0.6,1.9,.317,3.2,7.0,.451,1.2,1.6,.752,0.4,1.5,1.9,1.7,0.6,0.1,1.2,1.8,9.4
2 seasons,,LAC,NBA,,127,69,16.2,2.2,5.2,.426,0.9,2.3,.390,1.3,2.9,.454,0.4,0.5,.773,0.2,1.1,1.4,0.8,0.4,0.2,0.5,1.5,5.7
1 season,,NOH,NBA,,77,13,21.7,3.5,7.9,.443,0.7,2.0,.348,2.8,5.9,.476,1.0,1.3,.780,0.3,1.8,2.1,1.0,0.5,0.2,0.9,1.9,8.7
1 season,,ATL,NBA,,53,2,17.4,2.9,6.1,.471,0.9,2.1,.442,1.9,4.0,.486,0.9,1.1,.857,0.3,1.2,1.5,0.8,0.4,0.1,0.6,1.4,7.6
