
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20,NYK,NBA,SF,35,16,19.6,3.0,6.9,.438,0.3,0.9,.300,2.8,6.1,.458,1.0,1.5,.630,1.1,2.5,3.6,0.9,0.4,0.5,0.8,2.4,7.3
2008-09,21,NYK,NBA,SF,82,70,33.4,5.5,12.9,.432,1.3,3.8,.328,4.3,9.0,.476,2.1,2.6,.795,1.1,4.3,5.4,2.1,0.9,0.9,1.7,3.0,14.4
2009-10,22,NYK,NBA,SG,65,64,35.7,6.3,13.2,.479,0.6,2.3,.267,5.7,10.9,.524,2.0,2.5,.806,1.4,3.9,5.4,2.1,0.7,0.8,1.7,2.8,15.3
2010-11,23,TOT,NBA,SF,72,49,33.3,6.0,13.2,.450,1.6,4.4,.350,4.4,8.8,.501,1.8,2.2,.807,1.0,4.6,5.7,1.7,0.7,1.3,1.4,2.8,15.3
2010-11,23,NYK,NBA,SF,51,30,34.5,6.4,14.0,.461,1.7,4.8,.351,4.7,9.2,.518,1.9,2.3,.807,1.2,4.7,5.9,1.7,0.7,1.4,1.3,3.0,16.4
2010-11,23,DEN,NBA,SF,21,19,30.6,4.8,11.5,.419,1.2,3.6,.347,3.6,7.9,.452,1.6,2.0,.810,0.6,4.4,5.0,1.6,0.7,1.1,1.8,2.2,12.5
2011-12,24,DEN,NBA,SF,8,6,26.9,3.9,9.9,.392,0.4,1.5,.250,3.5,8.4,.418,1.3,1.5,.833,0.8,4.4,5.1,2.1,0.8,0.8,2.3,2.3,9.4
2012-13,25,DEN,NBA,PF,43,8,25.1,4.9,10.6,.462,1.2,2.9,.413,3.7,7.7,.480,2.0,2.6,.793,1.0,4.0,5.1,1.3,1.0,0.3,1.4,2.8,13.0
2013-14,26,DEN,NBA,SF,62,55,31.1,5.0,11.9,.416,2.0,5.7,.348,3.0,6.2,.478,1.8,2.5,.724,0.9,3.8,4.7,1.8,0.7,0.5,1.3,3.1,13.6
Career,,,NBA,,367,268,31.0,5.3,11.9,.445,1.2,3.6,.338,4.1,8.4,.490,1.8,2.4,.777,1.1,4.0,5.1,1.8,0.8,0.8,1.5,2.9,13.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NYK,NBA,,233,180,32.2,5.6,12.3,.454,1.0,3.2,.322,4.6,9.1,.499,1.8,2.4,.785,1.2,4.0,5.2,1.8,0.7,0.9,1.5,2.9,14.0
4 seasons,,DEN,NBA,,134,88,28.8,4.8,11.3,.429,1.5,4.2,.360,3.3,7.1,.470,1.8,2.4,.763,0.9,4.0,4.9,1.7,0.8,0.5,1.4,2.8,13.0
