
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
15,Anthony Bennett,SF,6-8,240,March 14 1993,R,University of Nevada Las Vegas
21,Andrew Bynum,C,7-0,285,October 27 1987,7,
6,Earl Clark,PF,6-10,225,January 17 1988,4,University of Louisville
31,Seth Curry,PG,6-2,185,August 23 1990,R,Duke University
8,Matthew Dellavedova,SG,6-4,200,September 8 1990,R,Saint Mary's College of California
9,Luol Deng,SF,6-8,220,April 16 1985,9,Duke University
24,Shane Edwards,SF,6-7,220,May 31 1987,R,University of Arkansas at Little Rock
30,Carrick Felix,SG,6-6,201,August 17 1990,R,Arizona State University
33,Alonzo Gee,SF,6-6,220,May 29 1987,4,University of Alabama
32,Spencer Hawes,C,7-0,245,April 28 1988,6,University of Washington
24,Scotty Hopson,SG,6-7,204,August 8 1989,R,University of Tennessee
2,Kyrie Irving,PG,6-2,180,March 23 1992,2,Duke University
1,Jarrett Jack,PG,6-3,202,October 28 1983,8,Georgia Institute of Technology
10,Sergey Karasev,SF,6-7,203,October 26 1993,R,
0,C.J. Miles,SG,6-6,210,April 18 1987,8,
50,Arinze Onuaku,PF,6-9,275,July 13 1987,R,Syracuse University
14,Henry Sims,C,6-10,245,March 27 1990,1,Georgetown University
13,Tristan Thompson,PF,6-8,225,March 13 1991,2,University of Texas at Austin
17,Anderson Varejao,C,6-10,230,September 28 1982,9,
3,Dion Waiters,SG,6-4,210,December 10 1991,1,Syracuse University
40,Tyler Zeller,C,7-0,250,January 17 1990,1,University of North Carolina
