
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
45,DeJuan Blair,PF,6-7,265,April 22 1989,4,University of Pittsburgh
8,Jose Calderon,SG,6-3,210,September 28 1981,8,
25,Vince Carter,SG,6-6,215,January 26 1977,15,University of North Carolina
9,Jae Crowder,SF,6-7,240,July 6 1990,1,Marquette University
1,Samuel Dalembert,C,6-11,250,May 10 1981,11,Seton Hall University
21,Wayne Ellington,SG,6-4,200,October 29 1987,4,University of North Carolina
11,Monta Ellis,PG,6-3,175,October 26 1985,8,
20,Devin Harris,PG,6-3,185,February 27 1983,9,University of Wisconsin
5,Bernard James,C,6-10,240,February 7 1985,1,Florida State University
3,Shane Larkin,PG,5-11,176,October 2 1992,R,University of Miami
7,Ricky Ledo,SG,6-7,195,September 10 1992,R,
0,Shawn Marion,SF,6-7,220,May 7 1978,14,University of Nevada Las Vegas
33,Gal Mekel,PG,6-3,191,March 4 1988,R,Wichita State University
41,Dirk Nowitzki,PF,7-0,237,June 19 1978,15,
34,Brandan Wright,C,6-9,205,October 5 1987,5,University of North Carolina
