
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,Jose Barea,PG,6-0,175,June 26 1984,7,Northeastern University
13,Corey Brewer,SF,6-9,185,March 5 1986,6,University of Florida
10,Chase Budinger,SF,6-7,218,May 22 1988,4,University of Arizona
33,Dante Cunningham,SF,6-8,230,April 22 1987,4,Villanova University
5,Gorgui Dieng,C,6-11,245,January 18 1990,R,University of Louisville
6,Robbie Hummel,SF,6-8,215,March 8 1989,R,Purdue University
,Othyus Jeffers,G,6-5,200,August 5 1985,2,Robert Morris University (IL)
42,Kevin Love,PF,6-10,260,September 7 1988,5,University of California Los Angeles
23,Kevin Martin,SG,6-7,185,February 1 1983,9,Western Carolina University
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,5,University of California Los Angeles
15,Shabazz Muhammad,SG,6-6,225,November 13 1992,R,University of California Los Angeles
14,Nikola Pekovic,C,6-11,285,January 3 1986,3,
22,A.J. Price,SG,6-2,181,October 7 1986,4,University of Connecticut
9,Ricky Rubio,PG,6-4,180,October 21 1990,2,
1,Alexey Shved,SG,6-6,190,December 16 1988,1,
32,Ronny Turiaf,PF,6-10,249,January 13 1983,8,Gonzaga University
7,Derrick Williams,PF,6-8,241,May 25 1991,2,University of Arizona
